Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
Asia	82954455	80321	1229920	1269	80220734	73949	1503801	30527	0	0	0	0	0	Asia	0	0	0	0.0	0.0	0
North America	60490138	147429	1211119	1958	48528873	79682	10750146	20758	0	0	0	0	0	North America	0	0	0	0.0	0.0	0
South America	39179372	18587	1185953	485	37234993	7823	758426	12803	0	0	0	0	0	South America	0	0	0	0.0	0.0	0
Europe	77503469	390476	1455401	4224	67756201	281999	8291867	22974	0	0	0	0	0	Europe	0	0	0	0.0	0.0	0
Africa	8954359	31610	225169	145	8203766	13373	525424	1793	0	0	0	0	0	Africa	0	0	0	0.0	0.0	0
Oceania	385956	1842	4322	2	346500	1568	35134	149	0	0	0	0	0	Australia/Oceania	0	0	0	0.0	0.0	0
	721	0	15	0	706	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0
World	269468470	670265	5311899	8083	242291773	458394	21864798	89004	34570	681	0	0	0	All	0	0	0	0.0	0.0	0
China	99517	63	4636	0	93659	31	1222	29	69	3	160000000	111163	1439323776	Asia	14463	310467	9	0.04	0.0	0
USA	50705257	136839	817343	1580	39951693	71601	9936221	14839	151902	2449	772474927	2314168	333802450	North America	7	408	0	410.0	5.0	29767
India	34682736	7992	475128	393	34105066	7678	102542	8944	24781	339	653376628	466841	1399568826	Asia	40	2946	2	6.0	0.3	73
Brazil	22184824	7765	616733	229	21407699	0	160392	8318	103311	2872	63776166	296994	214738715	South America	10	348	3	36.0	1.0	747
UK	10717371	57596	146255	120	9414117	35952	1156999	900	156686	2138	374468898	5474658	68400424	Europe	6	468	0	842.0	2.0	16915
Russia	9956679	30873	287180	1176	8673518	35657	995981	2300	68185	1967	230400000	1577815	146024756	Europe	15	508	1	211.0	8.0	6821
Turkey	9002968	18561	78778	176	8568914	25129	355276	1128	105116	920	111213349	1298499	85647607	Asia	10	1087	1	217.0	2.0	4148
France	8161124	55339	120318	150	7252376	0	788430	2461	124632	1837	170480237	2603471	65481904	Europe	8	544	0	845.0	2.0	12040
Germany	6463737	58969	105931	496	5329300	51000	1028506	4636	76793	1259	87852398	1043744	84170450	Europe	13	795	1	701.0	6.0	12219
Iran	6150843	2971	130603	79	5957017	6592	63223	3154	71904	1527	39846085	465803	85542756	Asia	14	655	2	35.0	0.9	739
Argentina	5354440	3573	116748	29	5211264	1931	26428	706	116925	2549	26619622	581293	45793842	South America	9	392	2	78.0	0.6	577
Spain	5290190	17012	88381	60	4943735	2139	258074	1056	113084	1889	66213858	1415403	46780909	Europe	9	529	1	364.0	1.0	5517
Italy	5185263	20490	134669	118	4787453	11777	263141	816	85943	2232	124925626	2070584	60333526	Europe	12	448	0	340.0	2.0	4361
Colombia	5089695	1687	129011	42	4930529	1644	30155	342	98514	2497	28559483	552783	51664885	South America	10	400	2	33.0	0.8	584
