Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
Asia	82618876	74491	1224507	1172	79865741	75778	1528628	29992	0	0	0	0	0	Asia	0	0	0	0.0	0.0	0
North America	59911171	97681	1202976	851	48218613	131554	10489582	20012	0	0	0	0	0	North America	0	0	0	0.0	0.0	0
South America	39100936	13342	1184277	289	37167328	16489	749331	12763	0	0	0	0	0	South America	0	0	0	0.0	0.0	0
Europe	75930402	286676	1437984	3633	66538359	271231	7954059	22300	0	0	0	0	0	Europe	0	0	0	0.0	0.0	0
Africa	8834599	13558	224426	143	8167203	7864	442970	1809	0	0	0	0	0	Africa	0	0	0	0.0	0.0	0
Oceania	378676	1480	4270	6	334593	287	39813	143	0	0	0	0	0	Australia/Oceania	0	0	0	0.0	0.0	0
	721	0	15	0	706	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0
World	266775381	487228	5278455	6094	240292543	503203	21204383	87019	34225	677	0	0	0	All	0	0	0	0.0	0.0	0
China	99203	61	4636	0	93507	37	1060	12	69	3	160000000	111163	1439323776	Asia	14509	310467	9	0.04	0.0	0
USA	50162494	91673	810483	733	39675200	122733	9676811	13997	150286	2428	764798583	2291317	333781277	North America	7	412	0	275.0	2.0	28991
India	34648383	6822	473757	220	34069608	8834	105018	8944	24759	339	648259067	463234	1399420665	Asia	40	2954	2	5.0	0.2	75
Brazil	22147476	4385	615789	115	21370388	7835	161299	8318	103145	2868	63776166	297017	214722227	South America	10	349	3	20.0	0.5	751
UK	10514650	51262	145646	41	9259179	38553	1109825	900	153731	2129	369333562	5399887	68396535	Europe	7	470	0	749.0	0.6	16226
Russia	9833749	32136	282462	1184	8530476	28070	1020811	2300	67343	1934	228500000	1564810	146024075	Europe	15	517	1	220.0	8.0	6991
Turkey	8921150	20033	78017	187	8462323	25611	380810	1128	104173	911	109804024	1282193	85637694	Asia	10	1098	1	234.0	2.0	4447
France	7928572	11308	119727	192	7191129	19749	617716	2066	121083	1828	167925512	2564518	65480330	Europe	8	547	0	173.0	3.0	9434
Germany	6219169	39330	103913	309	5120100	37600	995156	4636	73890	1235	85782441	1019187	84167530	Europe	14	810	1	467.0	4.0	11824
Iran	6137821	3356	130277	77	5930502	7186	77042	3232	71761	1523	39415479	460833	85531007	Asia	14	657	2	39.0	0.9	901
Argentina	5343153	2477	116680	34	5203809	1969	22664	671	116690	2548	26452899	577709	45789314	South America	9	392	2	54.0	0.7	495
Spain	5235814	10952	88219	20	4934327	3271	213268	814	111922	1886	66213858	1415409	46780712	Europe	9	530	1	234.0	0.4	4559
Italy	5118562	9489	134298	95	4748454	5567	235810	743	84836	2226	122636677	2032613	60334494	Europe	12	449	0	157.0	2.0	3908
Colombia	5082762	1698	128821	41	4923433	2122	30508	342	98391	2494	28382350	549418	51658961	South America	10	401	2	33.0	0.8	591
Indonesia	4257815	130	143876	9	4108297	2005	5642	0	15334	518	56152356	202232	277662471	Asia	65	1930	5	0.5	0.03	20
Mexico	3901263	970	295202	48	3257676	1874	348385	4798	29810	2256	11949792	91310	130871191	North America	34	443	11	7.0	0.4	2662
Poland	3684674	13253	85701	26	3167754	25489	431219	1989	97511	2268	25000916	661623	37787245	Europe	10	441	2	351.0	0.7	11412
Ukraine	3501955	4478	88519	239	3059741	9082	353695	177	80770	2042	16089778	371097	43357380	Europe	12	490	3	103.0	6.0	8158
South Africa	3038075	6381	89975	9	2861372	3228	86728	546	50317	1490	19785993	327699	60378511	Africa	20	671	3	106.0	0.1	1436
Philippines	2834989	378	49499	113	2771857	580	13633	899	25388	443	24390103	218417	111667580	Asia	39	2256	5	3.0	1.0	122
Netherlands	2772919	20965	19702	34	2169993	11928	583224	618	161318	1146	19205114	1117280	17189161	Europe	6	872	1	1220.0	2.0	33930
Malaysia	2663034	4262	30652	38	2572053	5894	60329	463	80798	930	38474592	1167337	32959271	Asia	12	1075	1	129.0	1.0	1830
Czechia	2247186	6330	33866	103	1962273	222	251047	1014	209285	3154	44333278	4128854	10737430	Europe	5	317	0	590.0	10.0	23381
Peru	2245146	1731	201421	42	0	0	0	976	66762	5990	20580665	611994	33628881	South America	15	167	2	51.0	1.0	9607
