Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
North America	94624729	18252	1396546	362	65026531	19057	28201652	15797	0	0	0	0	0	North America	0	0	0	0.0	0.0	0
Asia	114568841	191045	1341366	135	105905684	15842	7321791	31227	0	0	0	0	0	Asia	0	0	0	0.0	0.0	0
South America	53895551	81	1253923	1	47337039	0	5304589	13704	0	0	0	0	0	South America	0	0	0	0.0	0.0	0
Europe	153871012	0	1699174	0	128883448	41453	23288390	15799	0	0	0	0	0	Europe	0	0	0	0.0	0.0	0
Africa	11495961	0	248691	0	10567038	0	680232	1863	0	0	0	0	0	Africa	0	0	0	0.0	0.0	0
Oceania	3441765	33795	7667	28	3089675	253	344423	234	0	0	0	0	0	Australia/Oceania	0	0	0	0.0	0.0	0
	721	0	15	0	706	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0
World	431898580	243173	5947382	526	360810121	76381	65141077	78624	55409	763	0	0	0	All	0	0	0	0.0	0.0	0
USA	80446512	0	969602	0	52662670	0	26814240	9545	240714	2901	945419023	2828907	334199450	North America	4	345	0	0.0	0.0	80234
India	42893585	0	513258	0	42236505	0	143822	8944	30587	366	763569165	544494	1402346849	Asia	33	2732	2	0.0	0.0	103
Brazil	28580995	0	647486	0	25901919	0	2031590	8318	132905	3011	63776166	296567	215047865	South America	8	332	3	0.0	0.0	9447
France	22534971	0	137770	0	20250620	0	2146581	3055	343985	2103	243529298	3717357	65511416	Europe	3	476	0	0.0	0.0	32767
UK	18773164	0	161104	0	17088177	0	1523883	304	274167	2353	479556923	7003556	68473350	Europe	4	425	0	0.0	0.0	22255
Russia	15928568	0	348578	0	12972661	0	2607329	2300	109072	2387	273400000	1872121	146037535	Europe	9	419	1	0.0	0.0	17854
Germany	14311052	0	122895	0	10435800	0	3752357	2494	169914	1459	104701826	1243117	84225205	Europe	6	685	1	0.0	0.0	44551
Turkey	13841889	0	93539	0	13043838	0	704512	1128	161264	1090	142130760	1655890	85833472	Asia	6	918	1	0.0	0.0	8208
Italy	12651251	0	154013	0	11298010	0	1199228	839	209752	2553	185945890	3082893	60315380	Europe	5	392	0	0.0	0.0	19883
Spain	10949997	0	99162	0	9080144	0	1770691	1112	234051	2120	471036328	10068190	46784608	Europe	4	472	0	0.0	0.0	37848
Argentina	8878486	0	125872	0	8628654	0	123960	1384	193521	2744	34114786	743586	45878744	South America	5	364	1	0.0	0.0	2702
Iran	7011932	0	135952	0	6579768	0	296212	4110	81759	1585	46780865	545466	85763051	Asia	12	631	2	0.0	0.0	3454
Netherlands	6234953	0	21531	0	4059688	0	2153734	171	362554	1252	21107399	1227366	17197320	Europe	3	799	1	0.0	0.0	125237
