Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
Asia	82214759	90435	1215458	1551	79494700	80390	1504601	30870	0	0	0	0	0	Asia	0	0	0	0.0	0.0	0
North America	59279475	129636	1196200	2033	47817170	91377	10266105	19501	0	0	0	0	0	North America	0	0	0	0.0	0.0	0
South America	39007003	19133	1182431	372	37096290	24269	728282	12699	0	0	0	0	0	South America	0	0	0	0.0	0.0	0
Europe	74107337	416597	1419732	4364	65143210	259246	7544395	22015	0	0	0	0	0	Europe	0	0	0	0.0	0.0	0
Africa	8748390	12802	223815	149	8133068	4693	391507	1847	0	0	0	0	0	Africa	0	0	0	0.0	0.0	0
Oceania	370138	1663	4218	6	331280	2256	34640	160	0	0	0	0	0	Australia/Oceania	0	0	0	0.0	0.0	0
	721	0	15	0	706	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0
World	263727823	670266	5241869	8475	238016424	462231	20469530	87092	33834	672	0	0	0	All	0	0	0	0.0	0.0	0
China	98824	113	4636	0	93320	35	868	8	69	3	160000000	111163	1439323776	Asia	14565	310467	9	0.08	0.0	0
USA	49573122	120441	805004	1633	39318563	81829	9449555	13343	148534	2412	755496996	2263665	333749517	North America	7	415	0	361.0	5.0	28313
India	34606541	9765	469724	477	34028506	10207	108311	8944	24733	336	642412315	459129	1399198423	Asia	40	2979	2	7.0	0.3	77
Brazil	22105872	11413	615020	266	21339118	17487	151734	8318	102963	2865	63776166	297051	214697495	South America	10	349	3	53.0	1.0	707
UK	10276007	48374	145140	171	9095983	33422	1034884	916	150254	2122	363637864	5317066	68390701	Europe	7	471	0	707.0	3.0	15132
Russia	9669718	32837	276419	1226	8364932	35679	1028367	2300	66220	1893	225500000	1544277	146023052	Europe	15	528	1	225.0	8.0	7042
Turkey	8818144	22556	77038	196	8350494	24113	390612	1405	102988	900	108036172	1261768	85622825	Asia	10	1111	1	263.0	2.0	4562
France	7725114	49610	119227	96	7137512	12488	468375	1886	117980	1821	162981031	2489097	65477969	Europe	8	549	0	758.0	1.0	7153
Iran	6121757	4312	129912	82	5892574	9104	99271	4312	71588	1519	38439240	449511	85513384	Asia	14	658	2	50.0	1.0	1161
Germany	5953310	71887	102552	415	4937600	44300	913158	4636	70735	1218	83816414	995880	84163150	Europe	14	821	1	854.0	5.0	10850
Argentina	5332629	1881	116597	8	5194780	1089	21252	632	116477	2547	26260861	573600	45782522	South America	9	393	2	41.0	0.2	464
Spain	5174720	10536	88080	28	4924551	1411	162089	741	110617	1883	66213858	1415418	46780416	Europe	9	531	1	225.0	0.6	3465
Colombia	5071817	2173	128586	58	4911593	2021	31638	342	98196	2490	28160705	545221	51650076	South America	10	402	2	42.0	1.0	613
Italy	5043620	15085	133931	93	4709906	9457	199783	686	83592	2220	119905510	1987298	60335946	Europe	12	451	1	250.0	2.0	3311
Indonesia	4256687	278	143840	10	4104964	307	7883	0	15333	518	54746617	197203	277615084	Asia	65	1930	5	1.0	0.04	28
Mexico	3887873	3307	294246	296	3245219	2272	348408	4798	29713	2249	11861186	90648	130848998	North America	34	445	11	25.0	2.0	2663
Poland	3569135	29062	84154	571	3048528	10077	436453	1870	94452	2227	24433048	646584	37787922	Europe	11	449	2	769.0	15.0	11550
Ukraine	3450341	11960	86532	557	2972192	26160	391617	177	79571	1996	15917165	367079	43361664	Europe	13	501	3	276.0	13.0	9031
South Africa	2976613	8561	89871	28	2850142	584	36600	546	49309	1489	19529031	323509	60366253	Africa	20	672	3	142.0	0.5	606
Philippines	2832909	371	48712	167	2768839	791	15358	1023	25375	436	24238501	217106	111643668	Asia	39	2292	5	3.0	1.0	138
Netherlands	2661691	18515	19459	45	2120332	7629	521900	605	154853	1132	19205114	1117321	17188541	Europe	6	883	1	1077.0	3.0	30363
Malaysia	2638221	5439	30474	49	2544007	6803	63740	500	80061	925	37882464	1149609	32952474	Asia	12	1081	1	165.0	1.0	1934
Peru	2236351	0	201176	0	0	0	0	971	66516	5984	20314089	604202	33621349	South America	15	167	2	0.0	0.0	9354
Czechia	2172163	21987	33250	107	1866617	575	272296	1069	202304	3097	43809304	4080178	10737105	Europe	5	323	0	2048.0	10.0	25360
Thailand	2120758	4886	20812	43	2025754	6326	74192	1369	30276	297	14913135	212899	70047905	Asia	33	3366	5	70.0	0.6	1059
Iraq	2082061	889	23844	24	2046224	1203	11993	103	50173	575	16363328	394320	41497561	Asia	20	1740	3	21.0	0.6	289
Canada	1795629	3129	29714	27	1739899	2643	26016	497	46993	778	48895595	1279643	38210346	North America	21	1286	1	82.0	0.7	681
Romania	1780808	1141	56626	79	1689184	2432	34998	1121	93452	2972	16037036	841577	19055941	Europe	11	337	1	60.0	4.0	1837
Belgium	1766035	16566	27015	49	1340916	7106	398104	760	151448	2317	24726131	2120410	11661012	Europe	7	432	0	1421.0	4.0	34140
Chile	1764274	1523	38356	10	1658440	1735	67478	688	91185	1982	25644143	1325390	19348368	South America	11	504	1	79.0	0.5	3488
Japan	1727304	83	18360	1	1708079	73	865	43	13717	146	27926519	221765	125928213	Asia	73	6859	5	0.7	0.01	7
Bangladesh	1576566	282	27983	2	1541348	383	7235	1382	9440	168	10907602	65311	167010523	Asia	106	5968	15	2.0	0.01	43
Israel	1344103	443	8199	3	1330366	566	5538	115	144124	879	31188024	3344202	9326000	Asia	7	1137	0	48.0	0.3	594
Pakistan	1285254	414	28737	9	1242354	118	14163	896	5663	127	22028156	97060	226953710	Asia	177	7898	10	2.0	0.04	62
