Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
Asia	113756303	622356	1339070	2182	105477853	456438	6939380	31202	0	0	0	0	0	Asia	0	0	0	0.0	0.0	0
North America	94499615	121426	1393693	3498	64754532	287102	28351390	16265	0	0	0	0	0	North America	0	0	0	0.0	0.0	0
South America	53748289	186792	1252480	1428	47165052	308077	5330757	13767	0	0	0	0	0	South America	0	0	0	0.0	0.0	0
Europe	153029779	883576	1695935	3460	127473946	1431523	23859898	16002	0	0	0	0	0	Europe	0	0	0	0.0	0.0	0
Africa	11486379	10931	248551	208	10533780	19523	704048	1873	0	0	0	0	0	Africa	0	0	0	0.0	0.0	0
Oceania	3374226	35065	7592	75	3088540	37134	278094	244	0	0	0	0	0	Australia/Oceania	0	0	0	0.0	0.0	0
	721	0	15	0	706	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0
World	429895312	1860146	5937336	10851	358494409	2539797	65463567	79353	55152	761	0	0	0	All	0	0	0	0.0	0.0	0
China	108194	205	4636	0	101598	54	1960	14	75	3	160000000	111163	1439323776	Asia	13303	310467	9	0.1	0.0	1
USA	80375627	77959	967779	2543	52453562	238409	26954286	10011	240502	2896	944126758	2825040	334199450	North America	4	345	0	233.0	8.0	80653
India	42881179	14148	512954	302	42219896	30009	148329	8944	30578	366	762414018	543670	1402346849	Asia	33	2734	2	10.0	0.2	106
Brazil	28485502	133626	646490	956	25772807	266823	2066205	8318	132461	3006	63776166	296567	215047865	South America	8	333	3	621.0	4.0	9608
France	22468239	66833	137489	213	20010065	269738	2320685	3055	342967	2099	243529298	3717357	65511416	Europe	3	476	0	1020.0	3.0	35424
UK	18734231	39505	160979	164	17011869	93358	1561383	312	273599	2351	478753907	6991828	68473350	Europe	4	425	0	577.0	2.0	22803
Russia	15795570	137642	347816	785	12836228	179203	2611526	2300	108161	2382	273400000	1872121	146037535	Europe	9	420	1	943.0	5.0	17883
Germany	14092621	219859	122622	253	10234100	202900	3735899	2494	167321	1456	104701826	1243117	84225205	Europe	6	687	1	2610.0	3.0	44356
Turkey	13762181	86600	93258	268	12949425	95526	719498	1128	160336	1086	141675559	1650586	85833472	Asia	6	920	1	1009.0	3.0	8382
Italy	12605082	50364	153764	252	11228571	119280	1222747	886	208986	2549	185461360	3074860	60315380	Europe	5	392	0	835.0	4.0	20273
Spain	10914105	33911	98936	301	8978634	101638	1836535	1162	233284	2115	471036328	10068190	46784608	Europe	4	473	0	725.0	6.0	39255
Argentina	8868188	12564	125775	157	8615796	8325	126617	1452	193296	2741	34056182	742309	45878744	South America	5	365	1	274.0	3.0	2760
Iran	6998975	15340	135726	227	6561376	21623	301873	3984	81608	1583	46780865	545466	85763051	Asia	12	632	2	179.0	3.0	3520
Netherlands	6193776	40569	21518	11	3996457	73707	2175801	166	360159	1251	21107399	1227366	17197320	Europe	3	799	1	2359.0	0.6	126520
Colombia	6054307	2181	138364	79	5877343	2899	38600	342	116933	2672	33050451	638336	51775956	South America	9	374	2	42.0	2.0	746
Poland	5602664	20440	110517	360	4969881	34541	522266	944	148304	2925	33281109	880958	37778333	Europe	7	342	1	541.0	10.0	13824
Mexico	5436566	18309	316492	706	4696414	19915	423660	4798	41449	2413	14936438	113877	131163399	North America	24	414	9	140.0	5.0	3230
Indonesia	5350902	61488	147025	227	4632355	39170	571522	2807	19228	528	82520129	296530	278286394	Asia	52	1893	3	221.0	0.8	2054
Ukraine	4783835	25062	105229	297	4023033	37432	655573	177	110479	2430	19430200	448724	43300966	Europe	9	411	2	579.0	7.0	15140
Japan	4607029	66373	22272	272	3783417	84616	801340	1489	36611	177	38016089	302102	125838691	Asia	27	5650	3	527.0	2.0	6368
South Africa	3665149	3117	98978	110	3531960	5845	34211	546	60541	1635	22964127	379322	60539901	Africa	17	612	3	51.0	2.0	565
Philippines	3655597	1422	55977	201	3544053	2499	55567	302	32644	500	27993027	249977	111982424	Asia	31	2001	4	13.0	2.0	496
Israel	3589333	12410	10075	37	3467926	14250	111332	673	384874	1080	41373364	4436346	9326000	Asia	3	926	0	1331.0	4.0	11938
Czechia	3538268	14201	38420	48	3360217	8236	139631	222	329395	3577	52400268	4878208	10741705	Europe	3	280	0	1322.0	4.0	12999
Belgium	3520568	8356	30040	25	2719238	51919	771290	315	301607	2574	31497990	2698432	11672699	Europe	3	389	0	716.0	2.0	66076
Peru	3503892	3012	209927	119	0	0	0	1087	103887	6224	27110980	803811	33728046	South America	10	161	1	89.0	4.0	46647
Malaysia	3305157	31199	32488	55	2994840	20399	277829	305	100008	983	48525846	1468310	33048778	Asia	10	1017	1	944.0	2.0	8407
Canada	3262057	6350	36253	137	3109294	14164	116510	736	85200	947	57920795	1512801	38287115	North America	12	1056	1	166.0	4.0	3043
Portugal	3219439	13158	20922	28	2732009	14500	466508	101	317257	2062	37805639	3725525	10147735	Europe	3	485	0	1297.0	3.0	45972
Australia	3101127	27013	5026	61	2891534	31090	204567	172	119334	193	63121509	2428959	25987059	Australia/Oceania	8	5171	0	1039.0	2.0	7872
Vietnam	2972378	60085	39773	91	2320722	15641	611883	3263	30091	403	78664831	796357	98780873	Asia	33	2484	1	608.0	0.9	6194
Chile	2923220	27289	41571	45	1942664	18762	938985	1043	150787	2144	32512886	1677095	19386433	South America	7	466	1	1408.0	2.0	48435
Thailand	2770793	21232	22733	39	2574458	16662	173602	687	39533	324	17270775	246414	70088467	Asia	25	3083	4	303.0	0.6	2477
Switzerland	2723887	16554	13200	7	1963537	18332	747150	154	310987	1507	18462813	2107902	8758858	Europe	3	664	0	1890.0	0.8	85302
Romania	2697566	11477	62968	110	2380151	21193	254447	1030	141781	3310	20825769	1094578	19026300	Europe	7	302	1	603.0	6.0	13373
Austria	2550371	34409	14661	30	2257376	30179	278334	196	280537	1613	156468799	17211330	9091035	Europe	4	620	0	3785.0	3.0	30616
Denmark	2540738	27473	4422	47	2041613	51824	494703	36	436118	759	124836463	21428217	5825798	Europe	2	1317	0	4716.0	8.0	84916
Sweden	2437850	2820	17048	1	1910876	33779	509926	85	238935	1671	18107257	1774703	10202981	Europe	4	598	1	276.0	0.1	49978
Greece	2353577	16962	25538	53	2103736	0	224303	459	227636	2470	64280258	6217146	10339190	Europe	4	405	0	1641.0	5.0	21694
S. Korea	2329182	171448	7607	99	969524	32633	1352051	512	45366	148	15804065	307820	51341863	Asia	22	6749	3	3339.0	2.0	26334
Iraq	2296665	1736	24917	20	2230960	2963	40788	168	55066	597	17904822	429293	41707686	Asia	18	1674	2	42.0	0.5	978
Bangladesh	1938135	1298	28995	5	1779687	8072	129453	1275	11578	173	13283785	79358	167391281	Asia	86	5773	13	8.0	0.03	773
Serbia	1896575	4388	15010	52	1730101	0	151464	129	218515	1729	8688491	1001048	8679399	Europe	5	578	1	506.0	6.0	17451
Hungary	1769164	6286	43562	132	1546872	11416	178730	170	183906	4528	10686340	1110853	9619945	Europe	5	221	1	653.0	14.0	18579
Jordan	1599422	8144	13751	20	1445203	13055	140468	941	154236	1326	16104982	1553046	10369933	Asia	6	754	1	785.0	2.0	13546
Georgia	1575999	10230	15981	48	1429763	7223	130255	0	396323	4019	15733907	3956669	3976554	Asia	3	249	0	2573.0	12.0	32756
Pakistan	1503873	1232	30096	43	1409515	3154	64262	1230	6597	132	26216305	115008	227951465	Asia	152	7574	9	5.0	0.2	282
Slovakia	1393534	19075	18314	35	1148563	20555	226657	246	255039	3352	6281976	1149703	5463998	Europe	4	298	1	3491.0	6.0	41482
