Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
Asia	82386227	84194	1218235	1452	79655456	72302	1512536	29832	0	0	0	0	0	Asia	0	0	0	0.0	0.0	0
North America	59603308	156853	1199939	1711	47981417	83473	10421952	19747	0	0	0	0	0	North America	0	0	0	0.0	0.0	0
South America	39053513	21028	1183281	393	37128758	13163	741474	12732	0	0	0	0	0	South America	0	0	0	0.0	0.0	0
Europe	74957089	420727	1428266	4242	65727109	275579	7801714	22289	0	0	0	0	0	Europe	0	0	0	0.0	0.0	0
Africa	8785604	20710	224097	117	8147216	6524	414291	1827	0	0	0	0	0	Africa	0	0	0	0.0	0.0	0
Oceania	373846	1692	4245	13	333700	1373	35901	160	0	0	0	0	0	Australia/Oceania	0	0	0	0.0	0.0	0
	721	0	15	0	706	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0
World	265160308	705204	5258078	7928	238974362	452414	20927868	86587	34018	674	0	0	0	All	0	0	0	0.0	0.0	0
China	98993	96	4636	0	93385	30	972	10	69	3	160000000	111163	1439323776	Asia	14540	310467	9	0.07	0.0	0
USA	49878049	147434	808116	1353	39463245	73599	9606688	13714	149440	2421	759601375	2275854	333765397	North America	7	413	0	442.0	4.0	28783
India	34624360	8603	470530	415	34045666	8612	108164	8944	24744	336	644668082	460704	1399309544	Asia	40	2974	2	6.0	0.3	77
Brazil	22129409	10627	615454	229	21357412	5907	156543	8318	103067	2866	63776166	297034	214709861	South America	10	349	3	49.0	1.0	729
UK	10378256	50120	145424	143	9156066	29938	1076766	895	151743	2126	366108215	5352959	68393618	Europe	7	470	0	733.0	2.0	15744
Russia	9736037	32930	278857	1217	8436631	36514	1020549	2300	66674	1910	226800000	1553174	146023563	Europe	15	524	1	226.0	8.0	6989
Turkey	8861386	21495	77417	187	8392971	20193	390998	1405	103484	904	108745783	1269946	85630260	Asia	10	1106	1	251.0	2.0	4566
France	7823388	49858	119457	127	7155819	14543	548112	2058	119479	1824	162981031	2489052	65479150	Europe	8	548	0	761.0	2.0	8371
Iran	6129199	3603	130066	78	5908901	7369	90232	3296	71668	1521	39093355	457114	85522195	Asia	14	658	2	42.0	0.9	1055
Germany	6097477	70681	103308	399	5023300	43600	970869	4636	72446	1227	85782441	1019213	84165340	Europe	14	815	1	840.0	5.0	11535
Argentina	5337692	2382	116639	22	5198099	2003	22954	657	116579	2547	26355038	575614	45785918	South America	9	393	2	52.0	0.5	501
Spain	5202958	13738	88159	37	4927391	1413	187408	814	111221	1885	66213858	1415414	46780564	Europe	9	531	1	294.0	0.8	4006
Italy	5077440	17025	134077	74	4727214	9658	216149	708	84154	2222	121173417	2008336	60335220	Europe	12	450	0	282.0	1.0	3582
Colombia	5076378	2299	128685	42	4916313	2392	31380	342	98276	2491	28258816	547073	51654519	South America	10	401	2	45.0	0.8	607
Indonesia	4257243	245	143858	8	4105680	328	7705	0	15334	518	55342143	199331	277638777	Asia	65	1930	5	0.9	0.03	28
Mexico	3894364	3146	294715	287	3250478	2466	349171	4798	29760	2252	11904011	90967	130860095	North America	34	444	11	24.0	2.0	2668
Poland	3623451	26964	85128	472	3091259	25041	447064	1968	95890	2253	24764134	655351	37787584	Europe	10	444	2	714.0	12.0	11831
Ukraine	3477649	13777	87566	509	3018620	22893	371463	177	80205	2020	16009215	369220	43359522	Europe	12	495	3	318.0	12.0	8567
South Africa	3004203	16055	89944	29	2852898	1993	61361	546	49761	1490	19646423	325421	60372382	Africa	20	671	3	266.0	0.5	1016
Philippines	2833777	443	48987	235	2769587	407	15203	1023	25380	439	24313150	217751	111655624	Asia	39	2279	5	4.0	2.0	136
Netherlands	2706263	21529	19586	62	2137058	9044	549619	609	157443	1139	19205114	1117301	17188851	Europe	6	878	1	1252.0	4.0	31975
Malaysia	2649578	5551	30538	17	2556554	5301	62486	499	80398	927	38161832	1157968	32955873	Asia	12	1079	1	168.0	0.5	1896
Peru	2241027	1606	201326	44	0	0	0	967	66647	5987	20463224	608570	33625115	South America	15	167	2	48.0	1.0	9488
Czechia	2212056	18596	33523	109	1894921	500	283612	1056	206017	3122	44071446	4104531	10737268	Europe	5	320	0	1732.0	10.0	26414
Thailand	2130641	4912	20878	33	2037000	5844	72763	1369	30416	298	14913135	212895	70049337	Asia	33	3355	5	70.0	0.5	1039
Iraq	2083515	741	23867	8	2048378	1112	11270	100	50199	575	16405036	395255	41504977	Asia	20	1739	3	18.0	0.2	272
Belgium	1809557	23113	27120	48	1351555	5627	430882	793	155175	2326	24998146	2143662	11661424	Europe	6	430	0	1982.0	4.0	36949
Canada	1802359	3487	29757	20	1745281	2757	27321	497	47166	779	49099908	1284899	38213055	North America	21	1284	1	91.0	0.5	715
Romania	1783630	1673	56910	183	1695283	3927	31437	1031	93605	2987	16108574	845377	19054895	Europe	11	335	1	88.0	10.0	1650
Chile	1768584	2091	38439	36	1661024	1253	69121	692	91401	1987	25803364	1333527	19349711	South America	11	503	1	108.0	2.0	3572
Japan	1727560	130	18363	1	1708345	126	852	32	13719	146	28040512	222676	125925054	Asia	73	6858	4	1.0	0.01	7
Bangladesh	1577070	243	27989	3	1541886	225	7195	1382	9442	168	10946046	65536	167023961	Asia	106	5967	15	1.0	0.02	43
Israel	1345083	415	8199	0	1331497	434	5387	112	144229	879	31188024	3344202	9326000	Asia	7	1137	0	44.0	0.0	578
Pakistan	1286022	391	28753	8	1245155	2437	12114	895	5666	127	22118750	97444	226988925	Asia	177	7894	10	2.0	0.04	53
Vietnam	1280780	13670	25858	200	1006459	1149	248463	6449	12992	262	69433777	704305	98584854	Asia	77	3813	1	139.0	2.0	2520
Serbia	1260806	1801	11837	45	1202858	3439	46111	172	145133	1363	6860373	789706	8687247	Europe	7	734	1	207.0	5.0	5308
Sweden	1212145	0	15136	0	1161101	828	35908	43	118967	1486	13708481	1345433	10188897	Europe	8	673	1	0.0	0.0	3524
Austria	1185982	6738	12693	68	1050051	13498	123238	643	130621	1398	111937966	12328589	9079544	Europe	8	715	0	742.0	7.0	13573
Portugal	1157352	2535	18492	21	1082421	3713	56439	129	113976	1821	21283107	2095956	10154367	Europe	9	549	0	250.0	2.0	5558
Hungary	1134869	10143	35122	191	910745	8745	189002	566	117903	3649	8559975	889309	9625418	Europe	8	274	1	1054.0	20.0	19636
Switzerland	1039730	4838	11612	9	867860	2970	160258	213	118898	1328	12597593	1440598	8744699	Europe	8	753	1	553.0	1.0	18326
Kazakhstan	973769	724	12734	18	939566	1231	21469	528	50993	667	11575012	606142	19096213	Asia	20	1500	2	38.0	0.9	1124
Jordan	968425	4770	11687	26	897728	3651	59010	1144	93592	1129	12320807	1190732	10347257	Asia	11	885	1	461.0	3.0	5703
Cuba	962892	114	8306	1	953882	160	704	22	85085	734	11160862	986223	11316771	North America	12	1362	1	10.0	0.09	62
Greece	957552	6201	18427	102	860595	4017	78530	694	92512	1780	37549349	3627767	10350540	Europe	11	562	0	599.0	10.0	7587
Morocco	950374	151	14784	2	932737	172	2853	347	25321	394	10477982	279168	37532940	Africa	39	2539	4	4.0	0.05	76
Georgia	857933	4100	12258	67	799850	3397	45825	0	215655	3081	11714425	2944609	3978262	Asia	5	325	0	1031.0	17.0	11519
Nepal	822172	223	11535	0	803716	347	6921	0	27514	386	4649390	155593	29881825	Asia	36	2591	6	7.0	0.0	232
UAE	742163	54	2148	0	737103	79	2912	0	73771	214	101872653	10126108	10060396	Asia	14	4684	0	5.0	0.0	289
Tunisia	718059	151	25390	9	691410	111	1259	68	59865	2117	3188390	265819	11994571	Africa	17	472	4	13.0	0.8	105
Slovakia	712749	15278	14696	90	578636	7315	119417	630	130459	2690	4678940	856414	5463407	Europe	8	372	1	2796.0	16.0	21858
Bulgaria	701469	2289	28769	113	570241	3323	102459	684	102048	4185	6668930	970176	6873938	Europe	10	239	1	333.0	16.0	14905
Lebanon	675765	1765	8755	10	634994	692	32016	186	99642	1291	4795578	707113	6781912	Asia	10	775	1	260.0	1.0	4721
Belarus	660204	1876	5130	16	648305	2201	6769	0	69901	543	10478624	1109448	9444897	Europe	14	1841	1	199.0	2.0	717
Croatia	623776	4521	11096	53	581031	5422	31649	313	153292	2727	3489551	857551	4069207	Europe	7	367	1	1111.0	13.0	7778
Guatemala	619040	313	15972	5	601824	353	1244	5	33668	869	3141170	170839	18386681	North America	30	1151	6	17.0	0.3	68
Azerbaijan	593588	1703	7929	24	560999	2180	24660	0	57803	772	5578401	543215	10269223	Asia	17	1295	2	166.0	2.0	2401
Ireland	583472	5408	5707	0	451327	3186	126438	110	116316	1138	8983297	1790837	5016257	Europe	9	879	1	1078.0	0.0	25206
Costa Rica	567383	120	7312	3	552158	1629	7913	77	109951	1417	2715029	526137	5160311	North America	9	706	2	23.0	0.6	1533
Sri Lanka	566196	725	14419	20	541536	412	10241	0	26285	669	5661108	262805	21541060	Asia	38	1494	4	34.0	0.9	475
Saudi Arabia	549848	38	8840	1	538990	24	2018	41	15452	248	31610540	888314	35584863	Asia	65	4025	1	1.0	0.03	57
Bolivia	540869	1107	19205	9	495349	638	26315	220	45453	1614	2593083	217915	11899498	South America	22	620	5	93.0	0.8	2211
Ecuador	526870	0	33250	0	443880	0	49740	759	29232	1845	2013368	111705	18024044	South America	34	542	9	0.0	0.0	2760
Myanmar	523748	402	19127	7	499264	516	5357	0	9535	348	5646267	102792	54928945	Asia	105	2872	10	7.0	0.1	98
Denmark	501760	4559	2927	15	439954	4055	58879	57	86195	503	94987887	16317466	5821240	Europe	12	1989	0	783.0	3.0	10115
Panama	478543	268	7371	1	468416	215	2756	20	108480	1671	4258361	965319	4411353	North America	9	598	1	61.0	0.2	625
Lithuania	476439	2125	6811	20	440857	1449	28771	131	178564	2553	6219424	2330970	2668170	Europe	6	392	0	796.0	7.0	10783
Paraguay	463260	61	16476	1	446002	74	782	47	63835	2270	1956252	269561	7257171	South America	16	440	4	8.0	0.1	108
