Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
Asia	82703585	84709	1225703	1196	79942641	76900	1535241	30069	0	0	0	0	0	Asia	0	0	0	0.0	0.0	0
North America	60024981	113810	1204884	1908	48295587	76974	10524510	20385	0	0	0	0	0	North America	0	0	0	0.0	0.0	0
South America	39120702	19766	1184705	428	37191163	23835	744834	12806	0	0	0	0	0	South America	0	0	0	0.0	0.0	0
Europe	76298170	367768	1442278	4294	66828699	290340	8027193	22677	0	0	0	0	0	Europe	0	0	0	0.0	0.0	0
Africa	8858307	23708	224560	134	8176467	9264	457280	1801	0	0	0	0	0	Africa	0	0	0	0.0	0.0	0
Oceania	380326	1650	4302	32	339698	5105	36326	149	0	0	0	0	0	Australia/Oceania	0	0	0	0.0	0.0	0
	721	0	15	0	706	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0
World	267386792	611411	5286447	7992	240774961	482418	21325384	87887	34303	678	0	0	0	All	0	0	0	0.0	0.0	0
China	99297	94	4636	0	93554	47	1107	16	69	3	160000000	111163	1439323776	Asia	14495	310467	9	0.07	0.0	0
USA	50270136	107642	812205	1722	39742867	67667	9715064	14377	150608	2433	766393274	2296094	333781277	North America	7	411	0	322.0	5.0	29106
India	34656822	8439	473952	195	34079612	10004	103258	8944	24765	339	649447014	464083	1399420665	Asia	40	2953	2	6.0	0.1	74
Brazil	22157726	10250	616067	278	21386271	15883	155388	8318	103193	2869	63776166	297017	214722227	South America	10	349	3	48.0	1.0	724
UK	10560341	45691	145826	180	9300698	41519	1113817	901	154399	2132	370541215	5417544	68396535	Europe	6	469	0	668.0	3.0	16285
