Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
Asia	114377796	621493	1341231	2161	105889842	411989	7146723	31142	0	0	0	0	0	Asia	0	0	0	0.0	0.0	0
North America	94606477	106862	1396184	2491	65007474	252942	28202819	15797	0	0	0	0	0	North America	0	0	0	0.0	0.0	0
South America	53895470	147181	1253922	1442	47337263	172211	5304285	13704	0	0	0	0	0	South America	0	0	0	0.0	0.0	0
Europe	153871012	841233	1699174	3239	128841995	1368049	23329843	15799	0	0	0	0	0	Europe	0	0	0	0.0	0.0	0
Africa	11495961	9582	248691	140	10567038	33258	680232	1863	0	0	0	0	0	Africa	0	0	0	0.0	0.0	0
Oceania	3407970	33744	7639	47	3089422	882	310909	231	0	0	0	0	0	Australia/Oceania	0	0	0	0.0	0.0	0
	721	0	15	0	706	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0
World	431655407	1760095	5946856	9520	360733740	2239331	64974811	78536	55377	762	0	0	0	All	0	0	0	0.0	0.0	0
China	108380	186	4636	0	101646	48	2098	18	75	3	160000000	111163	1439323776	Asia	13280	310467	9	0.1	0.0	1
USA	80446512	70885	969602	1823	52662670	209108	26814240	9545	240714	2901	945419023	2828907	334199450	North America	4	345	0	212.0	5.0	80234
India	42893585	12406	513258	304	42236505	16609	143822	8944	30587	366	763569165	544494	1402346849	Asia	33	2732	2	9.0	0.2	103
Brazil	28580995	95493	647486	996	25901919	129112	2031590	8318	132905	3011	63776166	296567	215047865	South America	8	332	3	444.0	5.0	9447
France	22534971	66732	137770	281	20250901	240836	2146300	3055	343985	2103	243529298	3717357	65511416	Europe	3	476	0	1019.0	4.0	32762
UK	18773164	38933	161104	125	17088177	76308	1523883	304	274167	2353	479556923	7003556	68473350	Europe	4	425	0	569.0	2.0	22255
Russia	15928568	132998	348578	762	12972661	136433	2607329	2300	109072	2387	273400000	1872121	146037535	Europe	9	419	1	911.0	5.0	17854
Germany	14311052	218431	122895	273	10435800	201700	3752357	2494	169914	1459	104701826	1243117	84225205	Europe	6	685	1	2593.0	3.0	44551
Turkey	13841889	79708	93539	281	13043838	94413	704512	1128	161264	1090	142130760	1655890	85833472	Asia	6	918	1	929.0	3.0	8208
Italy	12651251	46169	154013	249	11298010	69439	1199228	839	209752	2553	185945890	3082893	60315380	Europe	5	392	0	765.0	4.0	19883
Spain	10949997	35892	99162	226	9080144	101510	1770691	1112	234051	2120	471036328	10068190	46784608	Europe	4	472	0	767.0	5.0	37848
Argentina	8878486	10298	125872	97	8628654	12858	123960	1384	193521	2744	34114786	743586	45878744	South America	5	364	1	224.0	2.0	2702
Iran	7011932	12957	135952	226	6579768	18392	296212	4110	81759	1585	46780865	545466	85763051	Asia	12	631	2	151.0	3.0	3454
Netherlands	6234953	41177	21531	13	4059701	63244	2153721	171	362554	1252	21107399	1227366	17197320	Europe	3	799	1	2394.0	0.8	125236
Colombia	6056556	2249	138421	57	5880718	3375	37417	342	116976	2673	33085533	639013	51775956	South America	9	374	2	43.0	1.0	723
