Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
North America	60028409	3428	1205174	290	48298187	2600	10525048	20382	0	0	0	0	0	North America	0	0	0	0.0	0.0	0
Asia	82744116	40531	1226475	772	80003265	60624	1514376	30464	0	0	0	0	0	Asia	0	0	0	0.0	0.0	0
South America	39123609	2907	1184729	24	37194200	3037	744680	12795	0	0	0	0	0	South America	0	0	0	0.0	0.0	0
Europe	76492704	194534	1445678	3400	67031083	202384	8015943	22686	0	0	0	0	0	Europe	0	0	0	0.0	0.0	0
Africa	8858988	681	224567	7	8177934	1467	456487	1807	0	0	0	0	0	Africa	0	0	0	0.0	0.0	0
Oceania	382147	1821	4310	8	339759	61	38078	148	0	0	0	0	0	Australia/Oceania	0	0	0	0.0	0.0	0
	721	0	15	0	706	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0
World	267630694	243902	5290948	4501	241045134	270173	21294612	88282	34335	678	0	0	0	All	0	0	0	0.0	0.0	0
USA	50270136	0	812205	0	39742867	0	9715064	14377	150608	2433	766393274	2296094	333781277	North America	7	411	0	0.0	0.0	29106
India	34656822	0	473952	0	34089137	9525	93733	8944	24765	339	650660144	464950	1399420665	Asia	40	2953	2	0.0	0.0	67
Brazil	22157726	0	616067	0	21386271	0	155388	8318	103193	2869	63776166	297017	214722227	South America	10	349	3	0.0	0.0	724
UK	10560341	0	145826	0	9300698	0	1113817	901	154399	2132	370541215	5417544	68396535	Europe	6	469	0	0.0	0.0	16285
Russia	9895597	30752	284823	1179	8602067	36976	1008707	2300	67767	1951	229200000	1569604	146024075	Europe	15	513	1	211.0	8.0	6908
Turkey	8943837	0	78215	0	8486689	0	378933	1128	104438	913	110159341	1286342	85637694	Asia	10	1095	1	0.0	0.0	4425
France	7987591	0	119899	0	7211059	0	656633	2351	121985	1831	170480237	2603534	65480330	Europe	8	546	0	0.0	0.0	10028
Germany	6297345	26584	104639	278	5225700	55300	967006	4636	74819	1243	85782441	1019187	84167530	Europe	13	804	1	316.0	3.0	11489
Iran	6144644	3309	130446	90	5943467	6492	70731	3185	71841	1525	39632983	463376	85531007	Asia	14	656	2	39.0	1.0	827
Argentina	5346242	0	116703	0	5205534	0	24005	687	116757	2549	26501999	578781	45789314	South America	9	392	2	0.0	0.0	524
