Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
Asia	82874134	84304	1228651	1727	80146988	101863	1498495	30592	0	0	0	0	0	Asia	0	0	0	0.0	0.0	0
North America	60342707	143311	1209150	1777	48449191	71979	10684366	20584	0	0	0	0	0	North America	0	0	0	0.0	0.0	0
South America	39160785	19291	1185468	383	37227170	16225	748147	12798	0	0	0	0	0	South America	0	0	0	0.0	0.0	0
Europe	77114130	402953	1451115	4272	67423888	286473	8239127	23037	0	0	0	0	0	Europe	0	0	0	0.0	0.0	0
Africa	8922709	33606	225023	109	8190023	6145	507663	1798	0	0	0	0	0	Africa	0	0	0	0.0	0.0	0
Oceania	384114	1918	4320	10	344932	1805	34862	142	0	0	0	0	0	Australia/Oceania	0	0	0	0.0	0.0	0
	721	0	15	0	706	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0
World	268799300	685383	5303742	8278	241782898	484490	21712660	88951	34484	680	0	0	0	All	0	0	0	0.0	0.0	0
China	99454	83	4636	0	93628	26	1190	24	69	3	160000000	111163	1439323776	Asia	14472	310467	9	0.06	0.0	0
USA	50568418	133385	815752	1417	39880092	64124	9872574	14647	151494	2444	770247200	2307531	333797157	North America	7	409	0	400.0	4.0	29577
India	34674744	8503	474735	624	34097388	8251	102621	8944	24776	339	653243539	466759	1399531786	Asia	40	2948	2	6.0	0.4	73
Brazil	22177059	9278	616504	206	21407699	8383	152856	8318	103277	2871	63776166	297000	214734593	South America	10	348	3	43.0	1.0	712
UK	10660971	50863	146135	148	9378165	37775	1136671	890	155863	2136	373037852	5453813	68399452	Europe	6	468	0	744.0	2.0	16618
Russia	9925806	30209	286004	1181	8637861	35794	1001941	2300	67974	1959	229800000	1573708	146024586	Europe	15	511	1	207.0	8.0	6861
Turkey	8984407	19696	78602	195	8543785	27263	362020	1128	104903	918	110866117	1294482	85645129	Asia	10	1090	1	230.0	2.0	4227
France	8105785	56854	120168	136	7252512	21087	733105	2461	123787	1835	170480237	2603487	65481511	Europe	8	545	0	868.0	2.0	11196
Germany	6404768	65175	105435	503	5278300	52600	1021033	4636	76093	1253	85782441	1019160	84169720	Europe	13	798	1	774.0	6.0	12131
Iran	6147872	3228	130524	78	5950425	6958	66923	3169	71871	1526	39739512	464573	85539819	Asia	14	655	2	38.0	0.9	782
Argentina	5350867	2744	116719	11	5209333	2422	24815	707	116850	2549	26575189	580337	45792710	South America	9	392	2	60.0	0.2	542
Spain	5273178	13957	88321	50	4941596	2089	243261	1041	112721	1888	66213858	1415405	46780860	Europe	9	530	1	298.0	1.0	5200
Italy	5164773	12520	134551	79	4775676	7098	254546	811	85603	2230	124209339	2058703	60333768	Europe	12	448	0	208.0	1.0	4219
Colombia	5088008	1627	128969	40	4928885	1781	30154	342	98484	2496	28506132	551766	51663404	South America	10	401	2	31.0	0.8	584
Indonesia	4258560	220	143918	9	4109364	296	5278	0	15336	518	57287944	206305	277686164	Asia	65	1929	5	0.8	0.03	19
Mexico	3908534	3215	295893	292	3264585	2163	348056	4798	29863	2261	12000517	91689	130882288	North America	33	442	11	25.0	2.0	2659
Poland	3760045	27455	87357	562	3211558	16827	461130	2053	99507	2312	25322586	670142	37786907	Europe	10	433	1	727.0	15.0	12203
Ukraine	3532357	12376	89901	465	3133970	24547	308486	177	81475	2074	16199355	373642	43355238	Europe	12	482	3	285.0	11.0	7115
South Africa	3093452	22388	90060	22	2870329	2363	133063	546	51229	1491	19988045	331012	60384640	Africa	20	670	3	371.0	0.4	2204
Philippines	2835821	387	49936	176	2773703	694	12182	899	25392	447	24522686	219581	111679536	Asia	39	2236	5	3.0	2.0	109
Netherlands	2828655	19763	19919	77	2204254	11210	604482	645	164557	1159	19205114	1117260	17189470	Europe	6	863	1	1150.0	4.0	35166
Malaysia	2678465	5446	30787	41	2586822	5427	60856	419	81258	934	38880624	1179535	32962670	Asia	12	1071	1	165.0	1.0	1846
Czechia	2298507	16185	34188	96	1981319	643	283000	1072	214062	3184	45172922	4206988	10737592	Europe	5	314	0	1507.0	9.0	26356
Peru	2249671	1224	201527	37	0	0	0	977	66890	5992	20708063	615713	33632647	South America	15	167	2	36.0	1.0	9737
Thailand	2156587	4203	21082	49	2075088	7939	60417	1369	30785	301	14913135	212886	70052200	Asia	32	3323	5	60.0	0.7	862
Iraq	2086702	510	23943	12	2053418	762	9341	94	50258	577	16507647	397585	41519809	Asia	20	1734	3	12.0	0.3	225
Belgium	1898498	18714	27416	56	1403052	7693	468030	815	162790	2351	25571605	2192682	11662249	Europe	6	425	0	1605.0	5.0	40132
Canada	1823010	4268	29876	24	1761839	2859	31295	469	47700	782	49711113	1300709	38218474	North America	21	1279	1	112.0	0.6	819
Romania	1790571	1032	57459	97	1709702	1734	23410	754	93979	3016	16317446	856433	19052803	Europe	11	332	1	54.0	5.0	1229
Chile	1778370	1771	38600	59	1674647	1740	65123	688	91894	1995	26172828	1352433	19352398	South America	11	501	1	92.0	3.0	3365
Japan	1728237	124	18369	2	1709008	84	860	26	13725	146	28311957	224843	125918735	Asia	73	6855	4	1.0	0.02	7
Bangladesh	1578550	262	28016	0	1543491	287	7043	1360	9450	168	11062902	66225	167050838	Asia	106	5963	15	2.0	0.0	42
Vietnam	1367433	15311	27186	256	1050979	14586	289268	7697	13869	276	70692311	716966	98599197	Asia	72	3627	1	155.0	3.0	2934
