Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
Asia	115603688	565490	1345056	1938	106788431	421651	7470201	30769	0	0	0	0	0	Asia	0	0	0	0.0	0.0	0
North America	94781567	50075	1400565	1112	65441927	194699	27939075	14873	0	0	0	0	0	North America	0	0	0	0.0	0.0	0
South America	54161132	119201	1256618	1275	47620730	139994	5283784	13459	0	0	0	0	0	South America	0	0	0	0.0	0.0	0
Europe	155166581	549858	1704142	2042	131047415	935059	22415024	15457	0	0	0	0	0	Europe	0	0	0	0.0	0.0	0
Africa	11513966	6834	249114	170	10597863	10565	666989	1845	0	0	0	0	0	Africa	0	0	0	0.0	0.0	0
Oceania	3482507	36020	7714	36	3164706	22372	310087	217	0	0	0	0	0	Australia/Oceania	0	0	0	0.0	0.0	0
	721	0	15	0	706	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0
World	434710162	1327478	5963224	6573	364661778	1724340	64085160	76620	55769	765	0	0	0	All	0	0	0	0.0	0.0	0
China	108853	249	4636	0	101786	72	2431	18	76	3	160000000	111163	1439323776	Asia	13223	310467	9	0.2	0.0	2
USA	80560293	26003	972930	635	53037045	170795	26550318	8636	241043	2911	947533088	2835098	334215330	North America	4	344	0	78.0	2.0	79441
India	42916117	10273	513756	244	42290921	20439	111440	8944	30601	366	765735314	545995	1402457970	Asia	33	2730	2	7.0	0.2	79
Brazil	28744050	72856	648989	722	26082511	87945	2012550	8318	133656	3018	63776166	296550	215060231	South America	7	331	3	339.0	3.0	9358
France	22646732	53623	138059	101	20620413	155251	1888260	3055	345685	2107	243529298	3717290	65512597	Europe	3	475	0	819.0	2.0	28823
UK	18804765	0	161224	0	17153253	0	1490288	289	274617	2354	480341745	7014719	68476267	Europe	4	425	0	0.0	0.0	21764
Russia	16175023	122995	350158	793	13321314	181343	2503551	2300	110759	2398	273400000	1872115	146038047	Europe	9	417	1	842.0	5.0	17143
Germany	14633511	129360	123283	153	10758500	129200	3751728	2494	173738	1464	104701826	1243085	84227395	Europe	6	683	1	1536.0	2.0	44543
Turkey	13975389	61764	94026	221	13219507	85552	661856	1128	162806	1095	143006562	1665949	85840907	Asia	6	913	1	720.0	3.0	7710
Italy	12733929	39624	154416	210	11437706	74516	1141807	763	211125	2560	186820082	3097424	60314654	Europe	5	391	0	657.0	3.0	18931
Spain	10977524	0	99410	0	9181728	0	1696386	1053	234639	2125	471036328	10068158	46784756	Europe	4	471	0	0.0	0.0	36259
Argentina	8893568	5595	126048	90	8658068	13430	109452	1170	193835	2747	34208010	745563	45882140	South America	5	364	1	122.0	2.0	2386
Iran	7030943	7039	136390	224	6616633	14216	277920	3966	81973	1590	46780865	545410	85771863	Asia	12	629	2	82.0	3.0	3240
Netherlands	6305389	32896	21545	6	4201041	73642	2082803	171	366643	1253	21107399	1227343	17197630	Europe	3	798	1	1913.0	0.3	121110
Colombia	6060793	2078	138598	97	5886065	2519	36130	342	117048	2677	33136594	639945	51780399	South America	9	374	2	40.0	2.0	698
Poland	5651591	13945	111276	220	5031537	10865	508778	901	149600	2946	33537429	887750	37777994	Europe	7	339	1	369.0	6.0	13468
Indonesia	5504418	46643	147844	258	4778039	41805	578535	2911	19778	531	84001181	301826	278310087	Asia	51	1882	3	168.0	0.9	2079
Mexico	5489127	15638	317683	380	4750337	15529	421107	4798	41846	2422	15044617	114692	131174496	North America	24	413	9	119.0	3.0	3210
Japan	4815692	65196	23011	256	4037674	91649	755007	1507	38270	183	38573837	306542	125835531	Asia	26	5468	3	518.0	2.0	6000
Ukraine	4809624	0	105505	0	4058020	0	646099	177	111080	2437	19521252	450849	43298824	Europe	9	410	2	0.0	0.0	14922
South Africa	3671991	2320	99191	46	3539782	3279	33018	546	60648	1638	23053022	380752	60546030	Africa	16	610	3	38.0	0.8	545
Philippines	3660011	1214	56350	127	3549688	2353	53973	298	32680	503	28128384	251159	111994381	Asia	31	1987	4	11.0	1.0	482
Israel	3613765	6254	10118	4	3502941	0	100706	657	387494	1085	41373364	4436346	9326000	Asia	3	922	0	671.0	0.4	10798
Czechia	3568739	9117	38580	32	3419817	19727	110342	228	332227	3592	52550851	4892152	10741868	Europe	3	278	0	849.0	3.0	10272
Belgium	3544034	6359	30121	20	2848111	47468	665802	269	303607	2580	31623639	2709101	11673112	Europe	3	388	0	545.0	2.0	57037
Peru	3512404	3762	210407	178	0	0	0	1024	104127	6238	27286215	808916	33731811	South America	10	160	1	112.0	5.0	46880
Malaysia	3395170	27299	32634	43	3063560	22710	298976	348	102722	987	49246955	1489976	33052177	Asia	10	1013	1	826.0	1.0	9046
Canada	3280695	3601	36522	48	3129279	2208	114894	736	85681	954	58032175	1515603	38289824	North America	12	1048	1	94.0	1.0	3001
Portugal	3251302	9851	21001	28	2784000	19755	446301	101	320404	2070	37805639	3725614	10147493	Europe	3	483	0	971.0	3.0	43981
Vietnam	3234015	78341	40050	88	2376046	20427	817919	2979	32737	405	78971531	799404	98788045	Asia	31	2467	1	793.0	0.9	8280
Australia	3173512	22126	5132	35	2962924	21933	205456	150	122108	197	63371992	2438371	25989483	Australia/Oceania	8	5064	0	851.0	1.0	7905
Chile	3017579	29688	42070	151	2007057	27015	968452	1106	155643	2170	32834573	1693571	19387777	South America	6	461	1	1531.0	8.0	49952
Thailand	2844897	25615	22852	40	2621004	14641	201041	687	40589	326	17270775	246409	70089899	Asia	25	3067	4	365.0	0.6	2868
S. Korea	2831283	166206	7895	112	969524	0	1853864	643	55145	154	15804065	307818	51342223	Asia	18	6503	3	3237.0	2.0	36108
Switzerland	2772757	14999	13213	1	2056306	0	703238	142	316547	1508	18563383	2119259	8759376	Europe	3	663	0	1712.0	0.1	80284
Romania	2724480	7191	63300	97	2453349	23074	207831	976	143203	3327	20987123	1103119	19025254	Europe	7	301	1	378.0	5.0	10924
Austria	2636258	25972	14762	37	2345622	30804	275874	190	289971	1624	158481730	17431944	9091455	Europe	3	616	0	2857.0	4.0	30344
Denmark	2602437	16399	4538	37	2179052	41781	418847	45	446696	779	125200335	21490060	5825965	Europe	2	1284	0	2815.0	6.0	71893
Sweden	2441142	0	17107	0	1999148	0	424887	73	239246	1677	18107257	1774613	10203496	Europe	4	596	1	0.0	0.0	41641
Greece	2397187	11883	25719	51	2169331	31629	202137	425	231864	2488	65236790	6309915	10338775	Europe	4	402	0	1149.0	5.0	19551
Iraq	2300645	878	24960	12	2238457	2232	37228	142	55151	598	17948826	430272	41715102	Asia	18	1671	2	21.0	0.3	892
Bangladesh	1941816	759	29024	8	1800425	7343	112367	1275	11600	173	13355191	79778	167404719	Asia	86	5768	13	5.0	0.05	671
Serbia	1906142	2648	15155	45	1778444	13721	112543	109	219624	1746	8730705	1005945	8679112	Europe	5	573	1	305.0	5.0	12967
Hungary	1779174	0	43752	0	1566509	0	168913	148	184950	4548	10733913	1115821	9619745	Europe	5	220	1	0.0	0.0	17559
Jordan	1617178	2480	13798	13	1497632	13083	105748	810	155936	1330	16211019	1563146	10370763	Asia	6	752	1	239.0	1.0	10197
Georgia	1598172	6236	16097	43	1477481	14909	104594	0	401905	4048	15840334	3983495	3976491	Asia	2	247	0	1568.0	11.0	26303
Pakistan	1507657	1207	30153	14	1440292	25313	37212	1117	6613	132	26353468	115592	227986680	Asia	151	7561	9	5.0	0.06	163
Slovakia	1433930	12384	18413	38	1208550	19835	206967	235	262431	3370	6356551	1163347	5464020	Europe	4	297	1	2266.0	7.0	37878
Kazakhstan	1301708	455	13579	7	1265248	1256	22881	528	67980	709	11575012	604491	19148361	Asia	15	1410	2	24.0	0.4	1195
Ireland	1292212	0	6475	0	1152796	0	132941	53	256949	1288	11317728	2250465	5029061	Europe	4	777	0	0.0	0.0	26435
Norway	1225866	8560	1598	0	88952	0	1135316	21	223234	291	9852076	1794092	5491401	Europe	4	3436	1	1559.0	0.0	206744
Morocco	1160750	188	15970	10	1139693	375	5087	293	30843	424	11237010	298583	37634516	Africa	32	2357	3	5.0	0.3	135
Bulgaria	1087796	1468	35458	25	831886	2083	220452	498	158528	5167	9159368	1334823	6861859	Europe	6	194	1	214.0	4.0	32127
Cuba	1068757	609	8494	0	1057636	627	2627	34	94453	751	12920253	1141852	11315172	North America	11	1332	1	54.0	0.0	232
Lebanon	1065307	2428	10069	11	682977	0	372261	186	157244	1486	4795578	707850	6774848	Asia	6	673	1	358.0	2.0	54948
Croatia	1053568	1871	15012	22	1021946	3479	16610	109	259285	3694	4508140	1109461	4063359	Europe	4	271	1	460.0	5.0	4088
Tunisia	997088	1375	27743	41	946506	2054	22839	222	82930	2307	4336633	360687	12023273	Africa	12	433	3	114.0	3.0	1900
Nepal	976771	101	11934	2	955998	540	8839	100	32555	398	5409905	180308	30003688	Asia	31	2514	6	3.0	0.07	295
Belarus	913333	5355	6454	16	901068	5976	5811	0	96709	683	12408634	1313892	9444178	Europe	10	1463	1	567.0	2.0	615
Lithuania	897195	5291	8389	13	804766	10414	84040	93	337366	3154	7733777	2908075	2659415	Europe	3	317	0	1990.0	5.0	31601
Bolivia	893048	511	21419	5	786112	1431	85517	220	74817	1794	2669468	223639	11936484	South America	13	557	4	43.0	0.4	7164
Slovenia	891049	1847	6277	13	837656	7419	47116	106	428510	3019	2568679	1235292	2079411	Europe	2	331	1	888.0	6.0	22658
UAE	878746	644	2301	1	830805	1822	45640	0	87107	228	136896006	13569992	10088142	Asia	11	4384	0	64.0	0.1	4524
Uruguay	838341	2995	6961	12	806174	5072	25206	124	239961	1992	5690941	1628935	3493657	South America	4	502	1	857.0	3.0	7215
Ecuador	827760	0	35223	0	0	0	0	759	45767	1947	2470170	136577	18086299	South America	22	513	7	0.0	0.0	19277
Costa Rica	802472	0	7999	0	659607	0	134866	129	155184	1547	3635922	703123	5171103	North America	6	646	1	0.0	0.0	26081
Azerbaijan	784260	1512	9378	20	761590	3698	13292	0	76213	911	6543255	635859	10290425	Asia	13	1097	2	147.0	2.0	1292
Guatemala	776262	2687	16961	22	714146	3654	45155	5	42042	919	3922624	212450	18463756	North America	24	1089	5	146.0	1.0	2446
Panama	754905	543	8073	10	739724	1174	7108	83	170518	1824	5508991	1244368	4427139	North America	6	548	1	123.0	2.0	1606
Saudi Arabia	743742	537	8994	1	721473	1085	13275	612	20827	252	40578171	1136298	35710863	Asia	48	3971	1	15.0	0.03	372
Singapore	696652	16857	999	13	631318	19308	64335	46	117549	169	23141120	3904690	5926493	Asia	9	5932	0	2844.0	2.0	10855
Latvia	644077	10117	5223	32	505813	22471	133041	90	347834	2821	6691755	3613885	1851679	Europe	3	355	0	5464.0	17.0	71849
Sri Lanka	644060	988	16166	24	608475	249	19419	0	29870	750	6282076	291351	21561862	Asia	33	1334	3	46.0	1.0	901
Paraguay	640552	739	18346	13	607271	1753	14935	148	88018	2521	2524075	346832	7277515	South America	11	397	3	102.0	2.0	2052
Finland	637729	0	2364	0	46000	0	589365	39	114803	426	9903704	1782855	5554968	Europe	9	2350	1	0.0	0.0	106097
Kuwait	618703	582	2536	1	604869	1629	11298	62	141416	580	7604126	1738060	4375065	Asia	7	1725	1	133.0	0.2	2582
Myanmar	584239	2402	19360	4	532202	1355	32677	0	10620	352	7079745	128691	55013516	Asia	94	2842	8	44.0	0.07	594
Palestine	574782	167	5212	8	550377	2261	19193	104	108500	984	3078533	581128	5297513	Asia	9	1016	2	32.0	2.0	3623
Dominican Republic	574071	295	4368	3	568031	282	1672	40	52056	396	3103088	281384	11027938	North America	19	2525	4	27.0	0.3	152
Venezuela	514315	888	5631	3	501306	776	7378	230	18172	199	3359014	118682	28302567	South America	55	5026	8	31.0	0.1	261
Bahrain	509390	2416	1450	2	481914	3724	26026	15	283103	806	9373559	5209538	1799307	Asia	4	1241	0	1343.0	1.0	14464
Moldova	500812	668	11201	16	474487	947	15124	147	124628	2787	3009636	748956	4018443	Europe	8	359	1	166.0	4.0	3764
Libya	492154	0	6241	0	457636	0	28277	126	70049	888	2414788	343698	7025895	Africa	14	1126	3	0.0	0.0	4025
Estonia	487952	3997	2213	9	364133	7626	121606	27	367430	1666	3089240	2326214	1328012	Europe	3	600	0	3010.0	7.0	91570
Egypt	480727	1743	23992	35	410948	1200	45787	122	4555	227	3693367	34999	105526991	Africa	220	4398	29	17.0	0.3	434
Ethiopia	468625	19	7458	4	416643	1720	44524	91	3916	62	4497273	37580	119672008	Africa	255	16046	27	0.2	0.03	372
Mongolia	463725	390	2167	0	313256	0	148302	192	137783	644	4030048	1197413	3365629	Asia	7	1553	1	116.0	0.0	44064
Armenia	419423	631	8433	20	399704	1463	11286	0	141105	2837	2888510	971773	2972411	Asia	7	352	1	212.0	7.0	3797
Honduras	411212	0	10720	0	127663	0	272829	105	40453	1055	1263329	124280	10165223	North America	25	948	8	0.0	0.0	26839
Oman	380818	507	4238	0	362800	0	13780	60	71564	796	25000000	4698051	5321356	Asia	14	1256	0	95.0	0.0	2590
Bosnia and Herzegovina	370965	312	15421	9	192218	0	163326	0	114247	4749	1694736	521933	3247038	Europe	9	211	2	96.0	3.0	50300
Qatar	356363	297	667	3	351746	779	3950	23	126919	238	3370001	1200226	2807805	Asia	8	4210	1	106.0	1.0	1407
Kenya	322906	37	5639	1	303208	10	14059	4	5794	101	3363604	60355	55730036	Africa	173	9883	17	0.7	0.02	252
Cyprus	318773	3773	852	4	124370	0	193551	60	260882	697	9477138	7756029	1221906	Asia	4	1434	0	3088.0	3.0	158401
Zambia	312611	237	3951	4	306572	325	2088	3	16252	205	3266825	169837	19235057	Africa	62	4868	6	12.0	0.2	109
North Macedonia	296703	474	8994	13	283411	807	4298	0	142424	4317	1886706	905663	2083232	Europe	7	232	1	228.0	6.0	2063
Réunion	292126	0	640	0	274185	0	17301	40	322475	706	1424291	1572261	905887	Africa	3	1415	1	0.0	0.0	19098
Albania	271425	284	3462	4	265067	780	2896	13	94488	1205	1736486	604501	2872595	Europe	11	830	2	99.0	1.0	1008
Algeria	264778	72	6828	5	177366	89	80584	12	5863	151	230861	5112	45160878	Africa	171	6614	196	2.0	0.1	1784
Botswana	263950	0	2619	0	259434	0	1897	1	108614	1078	2026898	834060	2430159	Africa	9	928	1	0.0	0.0	781
Nigeria	254501	40	3142	0	248993	130	2366	11	1186	15	4317621	20121	214587291	Africa	843	68296	50	0.2	0.0	11
Uzbekistan	236174	138	1630	2	232049	503	2495	23	6891	48	1377915	40206	34271752	Asia	145	21026	25	4.0	0.06	73
Zimbabwe	235803	336	5393	1	225873	249	4537	12	15492	354	2076831	136446	15220902	Africa	65	2822	7	22.0	0.07	298
Montenegro	230011	175	2674	0	225637	333	1700	60	366144	4257	1167185	1857989	628198	Europe	3	235	1	279.0	0.0	2706
Mozambique	225036	18	2192	0	219320	0	3524	13	6881	67	1266050	38714	32702989	Africa	145	14919	26	0.6	0.0	108
Kyrgyzstan	200458	31	2954	2	194918	122	2586	131	29909	441	1907195	284560	6702266	Asia	33	2269	4	5.0	0.3	386
Luxembourg	181903	0	988	0	171378	0	9537	8	282974	1537	4064929	6323529	642826	Europe	4	651	0	0.0	0.0	14836
Afghanistan	173180	96	7588	9	155158	662	10434	1124	4289	188	887545	21981	40378143	Asia	233	5321	45	2.0	0.2	258
Maldives	169148	517	296	2	153628	660	15224	25	304063	532	2180535	3919760	556293	Asia	3	1879	0	929.0	4.0	27367
Uganda	163216	52	3585	5	99979	22	59652	56	3391	74	2452572	50959	48128415	Africa	295	13425	20	1.0	0.1	1239
Ghana	159124	0	1442	0	157133	0	549	1	4950	45	2305405	71717	32145660	Africa	202	22292	14	0.0	0.0	17
Namibia	157193	60	4007	0	152680	28	506	2	60066	1531	953850	364479	2617022	Africa	17	653	3	23.0	0.0	193
El Salvador	147786	0	4065	3	123870	0	19851	153	22596	622	1693464	258925	6540376	North America	44	1609	4	0.0	0.5	3035
Hong Kong	145288	17053	577	80	13232	0	131479	16	19123	76	36260319	4772573	7597646	Asia	52	13167	0	2245.0	11.0	17305
Laos	142474	237	621	2	7660	0	134193	0	19123	83	1000342	134270	7450238	Asia	52	11997	7	32.0	0.3	18012
Cambodia	129548	470	3032	5	122877	497	3639	0	7575	177	2856711	167041	17101809	Asia	132	5640	6	27.0	0.3	213
Rwanda	129485	2	1457	0	45522	0	82506	0	9604	108	4813956	357037	13483084	Africa	104	9254	3	0.1	0.0	6119
Jamaica	127916	60	2811	1	76422	289	48683	25	42888	942	845966	283637	2982561	North America	23	1061	4	20.0	0.3	16323
