Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
Asia	116157191	553503	1346684	1628	107207358	418927	7603149	31020	0	0	0	0	0	Asia	0	0	0	0.0	0.0	0
North America	94807243	25676	1401120	555	65618361	176434	27787762	14461	0	0	0	0	0	North America	0	0	0	0.0	0.0	0
South America	54223472	62340	1257291	673	47773587	152857	5192594	13359	0	0	0	0	0	South America	0	0	0	0.0	0.0	0
Europe	155606954	440373	1705711	1569	131795826	748411	22105417	14709	0	0	0	0	0	Europe	0	0	0	0.0	0.0	0
Africa	11519531	5565	249261	147	10607509	9646	662761	1845	0	0	0	0	0	Africa	0	0	0	0.0	0.0	0
Oceania	3516128	33621	7744	30	3183050	18344	325334	204	0	0	0	0	0	Australia/Oceania	0	0	0	0.0	0.0	0
	721	0	15	0	706	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0
World	435831240	1121078	5967826	4602	366186397	1524619	63677017	75598	55913	765	0	0	0	All	0	0	0	0.0	0.0	0
China	109092	239	4636	0	101868	82	2588	19	76	3	160000000	111163	1439323776	Asia	13194	310467	9	0.2	0.0	2
USA	80567757	7464	973119	189	53192990	155945	26401648	8279	241065	2912	947752321	2835754	334215330	North America	4	343	0	22.0	0.6	78996
India	42924130	8013	513843	87	42307686	16765	102601	8944	30606	366	766757518	546724	1402457970	Asia	33	2729	2	6.0	0.06	73
Brazil	28768104	24054	649195	206	26183623	101112	1935286	8318	133768	3019	63776166	296550	215060231	South America	7	331	3	112.0	1.0	8999
France	22689332	42600	138135	76	20666313	45900	1884884	2484	346335	2109	246629975	3764619	65512597	Europe	3	474	0	650.0	1.0	28771
UK	18804765	0	161224	0	17153253	0	1490288	289	274617	2354	480341745	7014719	68476267	Europe	4	425	0	0.0	0.0	21764
Russia	16291116	116093	350927	769	13458910	137596	2481279	2300	111554	2403	273400000	1872115	146038047	Europe	9	416	1	795.0	5.0	16991
Germany	14728752	95241	123328	45	10842300	83800	3763124	2494	174869	1464	104701826	1243085	84227395	Europe	6	683	1	1131.0	0.5	44678
Turkey	14025181	49792	94232	206	13289352	69845	641597	1128	163386	1098	143400825	1670542	85840907	Asia	6	911	1	580.0	2.0	7474
Italy	12764558	30629	154560	144	11487720	50014	1122278	733	211633	2563	187137866	3102693	60314654	Europe	5	390	0	508.0	2.0	18607
Spain	10977524	0	99410	0	9181728	0	1696386	1053	234639	2125	471036328	10068158	46784756	Europe	4	471	0	0.0	0.0	36259
Argentina	8897178	3610	126120	72	8670946	12878	100112	1156	193914	2749	34235204	746155	45882140	South America	5	364	1	79.0	2.0	2182
Iran	7040467	9524	136631	241	6634126	17493	269710	4049	82084	1593	46780865	545410	85771863	Asia	12	628	2	111.0	3.0	3145
Netherlands	6332772	27383	21548	3	4284149	83108	2027075	174	368235	1253	21107399	1227343	17197630	Europe	3	798	1	1592.0	0.2	117869
Colombia	6062701	1908	138693	95	5888474	2409	35534	342	117085	2678	33165748	640508	51780399	South America	9	373	2	37.0	2.0	686
Poland	5660490	8899	111316	40	5039109	7572	510065	872	149836	2947	33587230	889069	37777994	Europe	7	339	1	236.0	1.0	13502
