Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
North America	59282891	3416	1196386	186	47820522	3352	10265983	19501	0	0	0	0	0	North America	0	0	0	0.0	0.0	0
Asia	82252676	37917	1216039	581	79542778	48078	1493859	30522	0	0	0	0	0	Asia	0	0	0	0.0	0.0	0
South America	39009256	2253	1182480	49	37097621	1331	729155	12717	0	0	0	0	0	South America	0	0	0	0.0	0.0	0
Europe	74321216	213879	1422905	3173	65325976	182766	7572335	21972	0	0	0	0	0	Europe	0	0	0	0.0	0.0	0
Africa	8748980	590	223826	11	8135095	2027	390059	1846	0	0	0	0	0	Africa	0	0	0	0.0	0.0	0
Oceania	372122	1984	4232	14	331447	167	36443	157	0	0	0	0	0	Australia/Oceania	0	0	0	0.0	0.0	0
	721	0	15	0	706	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0
World	263987862	260039	5245883	4014	238254145	237721	20487834	86715	33867	673	0	0	0	All	0	0	0	0.0	0.0	0
USA	49573122	0	805004	0	39318563	0	9449555	13343	148534	2412	755496996	2263665	333749517	North America	7	415	0	0.0	0.0	28313
India	34606541	0	469724	0	34037054	8548	99763	8944	24733	336	643510926	459914	1399198423	Asia	40	2979	2	0.0	0.0	71
Brazil	22105872	0	615020	0	21339118	0	151734	8318	102963	2865	63776166	297051	214697495	South America	10	349	3	0.0	0.0	707
UK	10276007	0	145140	0	9095983	0	1034884	916	150254	2122	363637864	5317066	68390701	Europe	7	471	0	0.0	0.0	15132
Russia	9703107	33389	277640	1221	8400117	35185	1025350	2300	66449	1901	226100000	1548386	146023052	Europe	15	526	1	229.0	8.0	7022
Turkey	8818144	0	77038	0	8350494	0	390612	1405	102988	900	108036172	1261768	85622825	Asia	10	1111	1	0.0	0.0	4562
France	7725114	0	119227	0	7137416	0	468471	1886	117980	1821	162981031	2489097	65477969	Europe	8	549	0	0.0	0.0	7155
Iran	6125596	3839	129988	76	5901532	8958	94076	3839	71633	1520	38439240	449511	85513384	Asia	14	658	2	45.0	0.9	1100
Germany	5978964	25654	102669	117	4979700	42100	896595	4636	71040	1220	83816414	995880	84163150	Europe	14	820	1	305.0	1.0	10653
Argentina	5332629	0	116597	0	5194780	0	21252	632	116477	2547	26260861	573600	45782522	South America	9	393	2	0.0	0.0	464
Spain	5174720	0	88080	0	4924551	0	162089	741	110617	1883	66213858	1415418	46780416	Europe	9	531	1	0.0	0.0	3465
Colombia	5071817	0	128586	0	4911593	0	31638	342	98196	2490	28160705	545221	51650076	South America	10	402	2	0.0	0.0	613
Italy	5043620	0	133931	0	4709906	0	199783	686	83592	2220	119905510	1987298	60335946	Europe	12	451	1	0.0	0.0	3311
Indonesia	4256998	311	143850	10	4105352	388	7796	0	15334	518	55038077	198253	277615084	Asia	65	1930	5	1.0	0.04	28
Mexico	3891218	3345	294428	182	3248012	2793	348778	4798	29738	2250	11883217	90816	130848998	North America	34	444	11	26.0	1.0	2665
Poland	3596491	27356	84656	502	3066218	17690	445617	1862	95176	2240	24547160	649603	37787922	Europe	11	446	2	724.0	13.0	11793
Ukraine	3463872	13531	87057	525	2995727	23535	381088	177	79883	2008	15962709	368130	43361664	Europe	13	498	3	312.0	12.0	8789
South Africa	2976613	0	89871	0	2850142	0	36600	546	49309	1489	19529031	323509	60366253	Africa	20	672	3	0.0	0.0	606
Philippines	2833473	564	48752	40	2769533	694	15188	1023	25380	437	24238501	217106	111643668	Asia	39	2290	5	5.0	0.4	136
Netherlands	2684734	23043	19524	65	2128014	7682	537196	609	156193	1136	19205114	1117321	17188541	Europe	6	880	1	1341.0	4.0	31253
Malaysia	2638221	0	30474	0	2544007	0	63740	500	80061	925	37882464	1149609	32952474	Asia	12	1081	1	0.0	0.0	1934
Peru	2236351	0	201176	0	0	0	0	971	66516	5984	20314089	604202	33621349	South America	15	167	2	0.0	0.0	9354
Czechia	2193289	21126	33317	67	1866997	380	292975	1064	204272	3103	43942413	4092576	10737105	Europe	5	322	0	1968.0	6.0	27286
Thailand	2125729	4971	20845	33	2031156	5402	73728	1369	30347	298	14913135	212899	70047905	Asia	33	3360	5	71.0	0.5	1053
Iraq	2082774	713	23859	15	2047266	1042	11649	107	50190	575	16384117	394821	41497561	Asia	20	1739	3	17.0	0.4	281
Canada	1795629	0	29714	0	1739899	0	26016	497	46993	778	48895595	1279643	38210346	North America	21	1286	1	0.0	0.0	681
Belgium	1786444	20409	27072	57	1345928	5012	413444	780	153198	2322	24849495	2130990	11661012	Europe	7	431	0	1750.0	5.0	35455
Romania	1781957	1149	56684	58	1691356	2172	33917	1076	93512	2975	16057174	842633	19055941	Europe	11	336	1	60.0	3.0	1780
Chile	1766493	2219	38403	47	1659771	1331	68319	706	91299	1985	25724028	1329519	19348368	South America	11	504	1	115.0	2.0	3531
Japan	1727430	126	18362	2	1708219	140	849	38	13718	146	27983144	222215	125928213	Asia	73	6858	5	1.0	0.02	7
Bangladesh	1576566	0	27983	0	1541348	0	7235	1382	9440	168	10907602	65311	167010523	Asia	106	5968	15	0.0	0.0	43
Israel	1344103	0	8199	0	1330366	0	5538	115	144124	879	31188024	3344202	9326000	Asia	7	1137	0	0.0	0.0	594
Pakistan	1285631	377	28745	8	1242718	364	14168	904	5665	127	22072293	97255	226953710	Asia	177	7895	10	2.0	0.04	62
Vietnam	1266288	13698	25658	210	1005310	13258	235320	6600	12846	260	68989197	699846	98577682	Asia	78	3842	1	139.0	2.0	2387
Serbia	1259005	1980	11792	48	1199419	2724	47794	177	144921	1357	6845489	787967	8687534	Europe	7	737	1	228.0	6.0	5501
Sweden	1209935	0	15130	0	1160273	1150	34532	43	118756	1485	13708481	1345501	10188382	Europe	8	673	1	0.0	0.0	3389
Austria	1179244	8882	12625	72	1036553	13892	130066	637	129885	1391	111537645	12285068	9079123	Europe	8	719	0	978.0	8.0	14326
Portugal	1151919	0	18458	0	1077683	0	55778	116	113438	1818	21283107	2095906	10154610	Europe	9	550	0	0.0	0.0	5493
Hungary	1124726	10466	34931	218	902000	10309	187795	550	116847	3629	8516699	884795	9625618	Europe	9	276	1	1087.0	23.0	19510
Switzerland	1029804	4798	11574	3	864890	2320	153340	218	117770	1324	12532330	1433219	8744181	Europe	8	756	1	549.0	0.3	17536
Kazakhstan	973045	753	12716	13	938335	952	21994	528	50960	666	11575012	606200	19094373	Asia	20	1502	2	39.0	0.7	1152
Cuba	962628	0	8305	0	953566	0	757	25	85062	734	11116221	982274	11316828	North America	12	1363	1	0.0	0.0	67
Jordan	958990	0	11633	0	890366	0	56991	1105	92688	1124	12220357	1181118	10346428	Asia	11	889	1	0.0	0.0	5508
Morocco	950088	0	14779	0	932421	0	2888	347	25316	394	10458391	278672	37529355	Africa	40	2539	4	0.0	0.0	77
Greece	945095	0	18234	0	850711	0	76150	690	91305	1762	36708282	3546366	10350956	Europe	11	568	0	0.0	0.0	7357
Georgia	853833	3731	12191	72	796453	4295	45189	0	214621	3064	11662676	2931554	3978325	Asia	5	326	0	938.0	18.0	11359
Nepal	821949	298	11535	6	803369	201	7045	0	27511	386	4642990	155401	29877524	Asia	36	2590	6	10.0	0.2	236
UAE	742109	0	2148	0	737024	0	2937	0	73773	214	101637361	10103704	10059416	Asia	14	4683	0	0.0	0.0	292
Tunisia	717710	0	25376	0	691184	0	1150	58	59841	2116	3180395	265175	11993558	Africa	17	473	4	0.0	0.0	96
Slovakia	697471	7853	14606	103	571321	7531	111544	600	127663	2673	4636537	848656	5463386	Europe	8	374	1	1437.0	19.0	20417
Bulgaria	697162	0	28542	0	563574	0	105046	694	101415	4152	6604490	960742	6874364	Europe	10	241	1	0.0	0.0	15281
Lebanon	672548	0	8735	0	633490	0	30323	186	99164	1288	4795578	707087	6782161	Asia	10	776	1	0.0	0.0	4471
Belarus	658328	1818	5114	16	646104	2318	7110	0	69702	541	10452213	1106649	9444922	Europe	14	1847	1	192.0	2.0	753
Guatemala	618436	0	15956	0	601096	0	1384	5	33640	868	3128305	170165	18383960	North America	30	1152	6	0.0	0.0	75
Croatia	613914	0	10967	0	570933	0	32014	312	150861	2695	3463550	851118	4069414	Europe	7	371	1	0.0	0.0	7867
Azerbaijan	590113	0	7884	0	556716	0	25513	0	57468	768	5551849	540669	10268474	Asia	17	1302	2	0.0	0.0	2485
Ireland	573905	0	5707	0	444404	0	123794	117	114419	1138	8983297	1790998	5015805	Europe	9	879	1	0.0	0.0	24681
Costa Rica	566959	0	7305	0	549108	0	10546	77	109877	1416	2715029	526176	5159930	North America	9	706	2	0.0	0.0	2044
Sri Lanka	564733	0	14372	0	540783	0	9578	0	26217	667	5661108	262814	21540326	Asia	38	1499	4	0.0	0.0	445
Saudi Arabia	549810	24	8839	2	538966	27	2005	42	15453	248	31570182	887291	35580416	Asia	65	4025	1	0.7	0.06	56
Bolivia	538647	0	19188	0	493941	0	25518	220	45271	1613	2593083	217939	11898193	South America	22	620	5	0.0	0.0	2145
Ecuador	526870	0	33250	0	443880	0	49740	759	29235	1845	2013368	111718	18021847	South America	34	542	9	0.0	0.0	2760
Myanmar	522825	0	19111	0	498050	0	5664	0	9519	348	5605747	102060	54925960	Asia	105	2874	10	0.0	0.0	103
Denmark	497201	4680	2912	3	403118	0	91171	57	85414	500	94571793	16246454	5821073	Europe	12	1999	0	804.0	0.5	15662
Panama	477990	0	7367	0	468000	0	2623	20	108368	1670	4244336	962261	4410796	North America	9	599	1	0.0	0.0	595
Lithuania	474184	1813	6788	20	439524	2058	27872	126	177698	2544	6202402	2324321	2668479	Europe	6	393	0	679.0	7.0	10445
Paraguay	463121	0	16474	0	445856	0	791	42	63822	2270	1951099	268878	7256453	South America	16	440	4	0.0	0.0	109
S. Korea	457612	5262	3705	47	400585	2262	53322	733	8915	72	15804065	307881	51331649	Asia	112	13855	3	103.0	0.9	1039
Venezuela	432514	0	5161	0	419724	0	7629	681	15271	182	3359014	118601	28321854	South America	65	5488	8	0.0	0.0	269
Palestine	431161	358	4542	3	423162	261	3457	50	81831	862	2736577	519381	5268925	Asia	12	1160	2	68.0	0.6	656
Slovenia	425288	2125	5255	15	386456	3652	33577	274	204530	2527	1949539	937575	2079343	Europe	5	396	1	1022.0	7.0	16148
Kuwait	413383	0	2465	0	410646	0	272	0	94815	565	5350472	1227208	4359873	Asia	11	1769	1	0.0	0.0	62
Dominican Republic	407474	0	4210	0	400650	0	2614	179	37037	383	2464049	223968	11001802	North America	27	2613	4	0.0	0.0	238
Uruguay	399966	0	6131	0	391664	0	2171	12	114578	1756	4119025	1179976	3490770	South America	9	569	1	0.0	0.0	622
Mongolia	382523	441	2008	3	313256	0	67259	192	114086	599	4030048	1201950	3352926	Asia	9	1670	1	132.0	0.9	20060
Honduras	378046	70	10412	3	121195	559	246439	59	37329	1028	1121382	110728	10127318	North America	27	973	9	7.0	0.3	24334
Libya	373739	529	5476	10	350239	2009	18024	0	53365	782	1917300	273766	7003425	Africa	19	1279	4	76.0	1.0	2574
Ethiopia	371672	0	6771	0	349124	0	15777	234	3124	57	3877539	32588	118985257	Africa	320	17573	31	0.0	0.0	133
Moldova	364433	0	9141	0	347118	0	8174	206	90639	2273	2210968	549898	4020688	Europe	11	440	2	0.0	0.0	2033
Egypt	359516	0	20537	0	298084	0	40895	90	3422	195	3693367	35154	105062217	Africa	292	5116	28	0.0	0.0	389
Armenia	339578	558	7631	21	318481	716	13466	0	114294	2568	2382972	802055	2971083	Asia	9	389	1	188.0	7.0	4532
Oman	304581	9	4113	0	300021	10	447	2	57576	778	25000000	4725872	5290029	Asia	17	1286	0	2.0	0.0	84
Bahrain	277721	0	1394	0	275999	0	328	2	155586	781	7421582	4157737	1785005	Asia	6	1280	0	0.0	0.0	184
Bosnia and Herzegovina	276548	583	12658	30	192218	0	71672	0	85042	3892	1404535	431910	3251918	Europe	12	257	2	179.0	9.0	22040
Norway	271623	0	1093	0	88952	0	181578	64	49555	199	8640313	1576348	5481222	Europe	20	5015	1	0.0	0.0	33127
Singapore	266049	0	726	0	253068	0	12255	61	44975	123	21098774	3566726	5915445	Asia	22	8148	0	0.0	0.0	2072
Latvia	255402	712	4232	19	239465	1422	11705	144	137560	2279	5357720	2885678	1856659	Europe	7	439	0	383.0	10.0	6304
Kenya	255164	0	5335	0	248350	0	1479	20	4602	96	2839918	51221	55444596	Africa	217	10393	20	0.0	0.0	27
Qatar	243758	151	611	0	241061	129	2086	11	86814	218	3005203	1070303	2807805	Asia	12	4595	1	54.0	0.0	743
Estonia	223689	521	1808	5	205296	1433	16585	34	168466	1362	2346185	1766974	1327798	Europe	6	734	1	392.0	4.0	12491
North Macedonia	215995	0	7592	0	200293	0	8110	0	103682	3644	1474094	707592	2083253	Europe	10	274	1	0.0	0.0	3893
Nigeria	214270	0	2978	0	207312	0	3980	11	1004	14	3479682	16309	213355138	Africa	996	71644	61	0.0	0.0	19
Australia	213339	1685	2021	10	194835	0	16483	68	8231	78	48247926	1861534	25918370	Australia/Oceania	121	12825	1	65.0	0.4	636
Algeria	210723	0	6076	0	144602	0	60045	16	4686	135	230861	5134	44970242	Africa	213	7401	195	0.0	0.0	1335
Zambia	210220	25	3667	0	206425	12	128	7	11000	192	2731797	142945	19110787	Africa	91	5212	7	1.0	0.0	7
Albania	200173	0	3101	0	190378	0	6694	23	69665	1079	1395649	485722	2873348	Europe	14	927	2	0.0	0.0	2330
Botswana	195068	0	2418	0	192048	0	602	1	80649	1000	1869359	772871	2418722	Africa	12	1000	1	0.0	0.0	249
Uzbekistan	193633	209	1409	3	190305	277	1919	23	5669	41	1377915	40343	34155079	Asia	176	24241	25	6.0	0.09	56
Finland	189730	1622	1356	8	46000	0	142374	51	34168	244	7984794	1437949	5552905	Europe	29	4095	1	292.0	1.0	25640
Kyrgyzstan	183460	56	2752	3	178404	72	2304	131	27479	412	1838750	275412	6676362	Asia	36	2426	4	8.0	0.4	345
Montenegro	157611	0	2310	0	152890	0	2411	60	250901	3677	908916	1446906	628179	Europe	4	272	1	0.0	0.0	3838
Afghanistan	157387	16	7310	1	140596	15	9481	1124	3918	182	793967	19767	40166836	Asia	255	5495	51	0.4	0.02	236
Mozambique	151594	0	1941	0	149538	0	115	8	4666	60	979501	30146	32491630	Africa	214	16740	33	0.0	0.0	4
