Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
North America	60558897	2655	1212045	235	48570273	2022	10776579	20844	0	0	0	0	0	North America	0	0	0	0.0	0.0	0
Asia	83047635	14945	1231358	145	80315294	23664	1500983	30400	0	0	0	0	0	Asia	0	0	0	0.0	0.0	0
South America	39191308	0	1186176	0	37250768	0	754364	12780	0	0	0	0	0	South America	0	0	0	0.0	0.0	0
Europe	77842160	14355	1459073	277	68105459	39555	8277628	22767	0	0	0	0	0	Europe	0	0	0	0.0	0.0	0
Africa	8981214	0	225316	0	8207715	0	548183	1797	0	0	0	0	0	Africa	0	0	0	0.0	0.0	0
Oceania	389442	1654	4344	4	347639	40	37459	161	0	0	0	0	0	Australia/Oceania	0	0	0	0.0	0.0	0
	721	0	15	0	706	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0
World	270011377	33609	5318327	661	242797854	65273	21895196	88749	34640	682	0	0	0	All	0	0	0	0.0	0.0	0
USA	50762671	0	817789	0	39986483	0	9958399	14935	152074	2450	773300851	2316642	333802450	North America	7	408	0	0.0	0.0	29833
India	34690510	0	475434	0	34122795	8464	92281	8944	24787	340	654627300	467735	1399568826	Asia	40	2944	2	0.0	0.0	66
Brazil	22188179	0	616859	0	21414318	0	157002	8318	103326	2873	63776166	296994	214738715	South America	10	348	3	0.0	0.0	731
UK	10771444	0	146387	0	9453429	0	1171628	900	157476	2140	374468898	5474658	68400424	Europe	6	467	0	0.0	0.0	17129
Russia	9986967	0	288351	0	8709964	0	988652	2300	68392	1975	231000000	1581924	146024756	Europe	15	506	1	0.0	0.0	6770
Turkey	9022223	0	78969	0	8592094	0	351160	1128	105341	922	111562570	1302577	85647607	Asia	9	1085	1	0.0	0.0	4100
France	8214844	0	120383	0	7294588	0	799873	2461	125452	1838	172371975	2632360	65481904	Europe	8	544	0	0.0	0.0	12215
Germany	6501279	0	106208	0	5395300	27000	999771	4636	77239	1262	87852398	1043744	84170450	Europe	13	793	1	0.0	0.0	11878
Iran	6152524	0	130661	0	5963373	0	58490	3126	71923	1527	39951481	467035	85542756	Asia	14	655	2	0.0	0.0	684
Argentina	5356885	0	116760	0	5213678	0	26447	681	116978	2550	26663231	582245	45793842	South America	9	392	2	0.0	0.0	578
Spain	5290190	0	88381	0	4943735	0	258074	1056	113084	1889	66213858	1415403	46780909	Europe	9	529	1	0.0	0.0	5517
Italy	5206305	0	134765	0	4797658	0	273882	818	86292	2234	125490703	2079950	60333526	Europe	12	448	0	0.0	0.0	4539
Colombia	5091508	0	129056	0	4932304	0	30148	342	98549	2498	28587711	553330	51664885	South America	10	400	2	0.0	0.0	584
Indonesia	4258980	0	143929	0	4109865	0	5186	0	15337	518	57921612	208581	277694062	Asia	65	1929	5	0.0	0.0	19
Mexico	3917361	2655	296620	235	3271058	2022	349683	4798	29930	2266	12065033	92180	130885987	North America	33	441	11	20.0	2.0	2672
Poland	3808798	0	88414	0	3263563	0	456821	2104	100797	2340	25430252	672993	37786794	Europe	10	427	1	0.0	0.0	12089
Ukraine	3559092	5275	91027	238	3195913	11626	272152	177	82093	2100	16294537	375844	43354523	Europe	12	476	3	122.0	5.0	6277
South Africa	3129622	0	90116	0	2880472	0	159034	546	51826	1492	20176391	334120	60386682	Africa	19	670	3	0.0	0.0	2634
Netherlands	2863838	0	20074	0	2232957	0	610807	642	166603	1168	19205114	1117254	17189574	Europe	6	856	1	0.0	0.0	35534
Philippines	2836360	0	50096	0	2774891	0	11373	899	25396	449	24522686	219573	111683522	Asia	39	2229	5	0.0	0.0	102
Malaysia	2688149	0	30862	0	2596509	0	60778	396	81549	936	39173380	1188376	32963803	Asia	12	1068	1	0.0	0.0	1844
Czechia	2334289	9080	34451	39	2033057	216	266781	1012	217393	3208	45474681	4235070	10737646	Europe	5	312	0	846.0	4.0	24845
Peru	2251027	0	201650	0	0	0	0	993	66927	5995	20753581	617044	33633902	South America	15	167	2	0.0	0.0	9773
Thailand	2168646	3787	21169	20	2095859	5606	51618	1369	30957	302	14913135	212885	70052677	Asia	32	3309	5	54.0	0.3	737
Iraq	2087497	0	23965	0	2054696	0	8836	86	50274	577	16539839	398336	41522281	Asia	20	1733	3	0.0	0.0	213
Belgium	1929772	0	27504	0	1421499	0	480769	827	165470	2358	25785017	2210955	11662387	Europe	6	424	0	0.0	0.0	41224
Canada	1831733	0	29910	0	1765882	0	35941	469	47927	783	49829014	1303763	38219377	North America	21	1278	1	0.0	0.0	940
Romania	1792433	0	57636	0	1714239	0	20558	712	94079	3025	16396701	860608	19052454	Europe	11	331	1	0.0	0.0	1079
Chile	1781227	0	38646	0	1679439	0	63142	687	92040	1997	26276042	1357735	19352846	South America	11	501	1	0.0	0.0	3263
Japan	1728689	141	18373	1	1709386	116	930	25	13729	146	28470838	226107	125917681	Asia	73	6853	4	1.0	0.01	7
Bangladesh	1578996	0	28022	0	1543862	0	7112	1369	9452	168	11098586	66437	167055318	Asia	106	5962	15	0.0	0.0	43
Vietnam	1398413	0	27611	0	1053425	0	317377	7558	14182	280	71152452	721616	98601587	Asia	71	3571	1	0.0	0.0	3219
Israel	1349741	0	8210	0	1335728	0	5803	102	144729	880	35924740	3852106	9326000	Asia	7	1136	0	0.0	0.0	622
Pakistan	1289049	288	28830	7	1251101	674	9118	740	5677	127	22525190	99199	227071093	Asia	176	7876	10	1.0	0.03	40
Serbia	1273103	0	12148	0	1226748	0	34207	179	146560	1398	6968519	802217	8686577	Europe	7	715	1	0.0	0.0	3938
Sweden	1229217	0	15158	0	1167277	925	46782	48	120629	1488	13934770	1367481	10190099	Europe	8	672	1	0.0	0.0	4591
Austria	1225555	0	13143	0	1138722	0	73690	573	134965	1447	114668040	12627909	9080525	Europe	7	691	0	0.0	0.0	8115
Portugal	1190409	0	18645	0	1106116	0	65648	142	117238	1836	22443244	2210329	10153801	Europe	9	545	0	0.0	0.0	6465
Hungary	1182922	0	36429	0	968897	0	177596	573	122902	3785	8768881	911057	9624951	Europe	8	264	1	0.0	0.0	18452
Switzerland	1106573	0	11785	0	891505	0	203283	273	126525	1347	13030943	1489947	8745908	Europe	8	742	1	0.0	0.0	23243
Jordan	1006136	0	11941	0	927352	0	66843	1256	97219	1154	12696572	1226818	10349193	Asia	10	867	1	0.0	0.0	6459
Greece	999652	0	19157	0	912332	0	68163	705	96589	1851	40397061	3903259	10349571	Europe	10	540	0	0.0	0.0	6586
Kazakhstan	979484	554	12852	15	948214	631	18418	528	51281	673	11575012	606005	19100508	Asia	20	1486	2	29.0	0.8	964
Cuba	963566	0	8313	0	954862	0	391	14	85146	735	11309677	999385	11316640	North America	12	1361	1	0.0	0.0	35
Morocco	951380	0	14796	0	934739	0	1845	347	25342	394	10559593	281279	37541305	Africa	39	2537	4	0.0	0.0	49
Georgia	889286	2922	12731	36	832675	4999	43880	0	223544	3200	12133846	3050148	3978117	Asia	4	312	0	735.0	9.0	11030
