Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
Greece	2405401	0	25785	0	2190692	0	188924	417	232658	2494	65433870	6328977	10338775	Europe	4	401	0	0.0	0.0	18273
Iraq	2302793	1203	24989	14	2243644	2643	34160	148	55203	599	17973630	430866	41715102	Asia	18	1669	2	29.0	0.3	819
Bangladesh	1943577	897	29037	4	1814665	7976	99875	1275	11610	173	13401339	80054	167404719	Asia	86	5765	12	5.0	0.02	597
Serbia	1910975	2703	15241	42	1802008	11077	93726	104	220181	1756	8754776	1008718	8679112	Europe	5	569	1	311.0	5.0	10799
Hungary	1787544	8370	43949	197	1588843	22334	154752	132	185820	4569	10784987	1121130	9619745	Europe	5	219	1	870.0	20.0	16087
Jordan	1623474	0	13814	0	1518754	0	90906	786	156543	1332	16246059	1566525	10370763	Asia	6	751	1	0.0	0.0	8766
Georgia	1605472	2465	16163	25	1504161	12840	85148	0	403741	4065	15880724	3993653	3976491	Asia	2	246	0	620.0	6.0	21413
Pakistan	1509360	856	30178	5	1443284	1756	35898	1052	6620	132	26426952	115914	227986680	Asia	151	7555	9	4.0	0.02	157
Slovakia	1446922	4728	18485	32	1231220	8512	197217	234	264809	3383	6380675	1167762	5464020	Europe	4	296	1	865.0	6.0	36094
Kazakhstan	1302322	263	13596	4	1267502	833	21224	528	68012	710	11575012	604491	19148361	Asia	15	1408	2	14.0	0.2	1108
Ireland	1292212	0	6475	0	1168261	5091	117476	47	256949	1288	11377091	2262269	5029061	Europe	4	777	0	0.0	0.0	23359
Norway	1231766	0	1598	0	88952	0	1141216	21	224308	291	9852076	1794092	5491401	Europe	4	3436	1	0.0	0.0	207819
Morocco	1160892	0	15978	0	1140157	0	4757	293	30846	425	11237010	298583	37634516	Africa	32	2355	3	0.0	0.0	126
Bulgaria	1088520	0	35482	0	834344	0	218694	503	158633	5171	9165927	1335779	6861859	Europe	6	193	1	0.0	0.0	31871
Cuba	1069387	0	8494	0	1058160	0	2733	34	94509	751	12920253	1141852	11315172	North America	11	1332	1	0.0	0.0	242
Lebanon	1066840	0	10079	0	682977	0	373784	186	157471	1488	4795578	707850	6774848	Asia	6	672	1	0.0	0.0	55172
Croatia	1054794	198	15069	39	1027821	2770	11904	98	259587	3709	4512457	1110524	4063359	Europe	4	270	1	49.0	10.0	2930
Tunisia	997754	0	27773	0	947817	0	22164	222	82985	2310	4341110	361059	12023273	Africa	12	433	3	0.0	0.0	1843
Nepal	976984	119	11936	1	956813	400	8235	100	32562	398	5421609	180698	30003688	Asia	31	2514	6	4.0	0.03	274
Belarus	919736	2268	6480	10	908132	2089	5124	0	97387	686	12438809	1317088	9444178	Europe	10	1457	1	240.0	1.0	543
Lithuania	902554	1923	8421	8	808647	2175	85486	95	339381	3166	7746771	2912961	2659415	Europe	3	316	0	723.0	3.0	32145
Bolivia	893223	0	21426	0	787320	0	84477	220	74831	1795	2669468	223639	11936484	South America	13	557	4	0.0	0.0	7077
Slovenia	892606	656	6306	14	845577	3629	40723	104	429259	3033	2570219	1236032	2079411	Europe	2	330	1	315.0	7.0	19584
UAE	879973	605	2301	0	834041	1571	43631	0	87228	228	137766535	13656284	10088142	Asia	11	4384	0	60.0	0.0	4325
Uruguay	840511	0	6977	0	809798	0	23736	122	240582	1997	5698831	1631194	3493657	South America	4	501	1	0.0	0.0	6794
Ecuador	827760	0	35223	0	0	0	0	759	45767	1947	2470170	136577	18086299	South America	22	513	7	0.0	0.0	19277
Costa Rica	802472	0	7999	0	659607	0	134866	129	155184	1547	3635922	703123	5171103	North America	6	646	1	0.0	0.0	26081
Azerbaijan	785670	369	9417	17	765373	1090	10880	0	76350	915	6554964	636996	10290425	Asia	13	1093	2	36.0	2.0	1057
Guatemala	776262	0	16961	0	714146	0	45155	5	42042	919	3922624	212450	18463756	North America	24	1089	5	0.0	0.0	2446
Panama	755262	0	8079	0	740813	0	6370	27	170598	1825	5513584	1245406	4427139	North America	6	548	1	0.0	0.0	1439
Saudi Arabia	745027	653	8998	2	723549	1081	12480	601	20863	252	40704052	1139823	35710863	Asia	48	3969	1	18.0	0.06	349
Singapore	710880	0	1007	0	650359	0	59514	46	119950	170	23141120	3904690	5926493	Asia	8	5885	0	0.0	0.0	10042
Latvia	653120	3616	5239	9	513598	0	134283	76	352718	2829	6711057	3624309	1851679	Europe	3	353	0	1953.0	5.0	72520
Sri Lanka	645037	0	16190	0	608719	0	20128	0	29916	751	6282076	291351	21561862	Asia	33	1332	3	0.0	0.0	934
Paraguay	641321	0	18359	0	608474	0	14488	151	88124	2523	2526622	347182	7277515	South America	11	396	3	0.0	0.0	1991
