Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
Asia	82465582	79355	1219433	1198	79718810	63354	1527339	30021	0	0	0	0	0	Asia	0	0	0	0.0	0.0	0
North America	59668304	64996	1200661	722	48022070	40653	10445573	19734	0	0	0	0	0	North America	0	0	0	0.0	0.0	0
South America	39072413	18900	1183564	283	37138866	10108	749983	12737	0	0	0	0	0	South America	0	0	0	0.0	0.0	0
Europe	75301890	344801	1431647	3381	65985745	258636	7884498	22222	0	0	0	0	0	Europe	0	0	0	0.0	0.0	0
Africa	8806171	20567	224195	98	8152235	5019	429741	1820	0	0	0	0	0	Africa	0	0	0	0.0	0.0	0
Oceania	375659	1813	4255	10	333841	141	37563	144	0	0	0	0	0	Australia/Oceania	0	0	0	0.0	0.0	0
	721	0	15	0	706	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0
World	265690740	530432	5263770	5692	239352273	377911	21074697	86678	34086	675	0	0	0	All	0	0	0	0.0	0.0	0
China	99083	90	4636	0	93434	49	1013	12	69	3	160000000	111163	1439323776	Asia	14526	310467	9	0.06	0.0	0
USA	49934791	56742	808608	492	39498111	34866	9628072	13725	149610	2423	760171483	2277562	333765397	North America	7	413	0	170.0	1.0	28847
India	34633255	8895	470620	90	34053856	8190	108779	8944	24750	336	646026786	461675	1399309544	Asia	40	2973	2	6.0	0.06	78
Brazil	22138247	8838	615606	152	21359352	1940	163289	8318	103108	2867	63776166	297034	214709861	South America	10	349	3	41.0	0.7	761
UK	10421104	42848	145551	127	9188131	32065	1087422	895	152370	2128	366108215	5352959	68393618	Europe	7	470	0	626.0	2.0	15899
Russia	9769011	32974	280072	1215	8471813	35182	1017126	2300	66900	1918	227400000	1557283	146023563	Europe	15	521	1	226.0	8.0	6965
Turkey	8881760	20374	77645	228	8412434	19463	391681	1405	103722	907	109098818	1274069	85630260	Asia	10	1103	1	238.0	3.0	4574
France	7875012	51624	119506	49	7168188	12369	587318	2058	120267	1825	167925512	2564565	65479150	Europe	8	548	0	788.0	0.7	8970
Germany	6143856	46379	103530	222	5058100	34800	982226	4636	72997	1230	85782441	1019213	84165340	Europe	14	813	1	551.0	3.0	11670
Iran	6131356	2157	130124	58	5916199	7298	85033	3278	71693	1522	39093355	457114	85522195	Asia	14	657	2	25.0	0.7	994
Argentina	5339382	1690	116643	4	5200141	2042	22598	657	116616	2548	26387800	576330	45785918	South America	9	393	2	37.0	0.09	494
Spain	5202958	0	88159	0	4927391	0	187408	814	111221	1885	66213858	1415414	46780564	Europe	9	531	1	0.0	0.0	4006
Italy	5094072	16632	134152	75	4736202	8988	223718	732	84429	2223	121810009	2018887	60335220	Europe	12	450	0	276.0	1.0	3708
Colombia	5078987	2609	128733	48	4918619	2306	31635	342	98326	2492	28293690	547749	51654519	South America	10	401	2	51.0	0.9	612
Indonesia	4257489	246	143863	5	4105994	314	7632	0	15335	518	55613822	200310	277638777	Asia	65	1930	5	0.9	0.02	27
Mexico	3897452	3088	294903	188	3253066	2588	349483	4798	29783	2254	11925712	91133	130860095	North America	34	444	11	24.0	1.0	2671
Poland	3649027	25576	85630	502	3116875	25616	446522	1978	96567	2266	24764134	655351	37787584	Europe	10	441	2	677.0	13.0	11817
Ukraine	3490855	13206	88002	436	3041385	22765	361468	177	80510	2030	16051772	370202	43359522	Europe	12	493	3	305.0	10.0	8337
South Africa	3020569	16366	89965	21	2855474	2576	75130	546	50032	1490	19715126	326559	60372382	Africa	20	671	3	271.0	0.3	1244
Philippines	2834294	517	49230	243	2770726	1139	14338	899	25384	441	24390103	218440	111655624	Asia	39	2268	5	5.0	2.0	128
Netherlands	2728876	22613	19642	56	2147210	10152	562024	600	158758	1143	19205114	1117301	17188851	Europe	6	875	1	1316.0	3.0	32697
Malaysia	2654474	4896	30574	36	2561232	4678	62668	490	80546	928	38278869	1161519	32955873	Asia	12	1078	1	149.0	1.0	1902
Peru	2242646	1619	201360	34	0	0	0	969	66696	5988	20511702	610011	33625115	South America	15	167	2	48.0	1.0	9535
Czechia	2229715	17659	33576	53	1895484	563	300655	1052	207661	3127	44205461	4117012	10737268	Europe	5	320	0	1645.0	5.0	28001
Thailand	2136537	5896	20915	37	2042666	5666	72956	1369	30500	299	14913135	212895	70049337	Asia	33	3349	5	84.0	0.5	1041
Iraq	2083889	374	23873	6	2049194	816	10822	105	50208	575	16417858	395564	41504977	Asia	20	1739	3	9.0	0.1	261
Belgium	1827467	17910	27167	47	1358257	6702	442043	821	156710	2330	25109681	2153226	11661424	Europe	6	429	0	1536.0	4.0	37906
Canada	1805070	2711	29766	9	1746170	889	29134	497	47237	779	49099908	1284899	38213055	North America	21	1284	1	71.0	0.2	762
Romania	1785120	1490	57021	111	1699083	3800	29016	948	93683	2992	16147097	847399	19054895	Europe	11	334	1	78.0	6.0	1523
Chile	1770620	2036	38465	26	1662877	1853	69278	692	91506	1988	25879136	1337443	19349711	South America	11	503	1	105.0	1.0	3580
Japan	1727701	141	18364	1	1708505	160	832	28	13720	146	28101312	223159	125925054	Asia	73	6857	4	1.0	0.01	7
Bangladesh	1577070	0	27989	0	1541886	0	7195	1382	9442	168	10946046	65536	167023961	Asia	106	5967	15	0.0	0.0	43
Israel	1345442	359	8199	0	1331903	406	5340	111	144268	879	31188024	3344202	9326000	Asia	7	1137	0	38.0	0.0	573
Vietnam	1294778	13998	26061	203	1007566	1107	261151	6788	13134	264	69698432	706989	98584854	Asia	76	3783	1	142.0	2.0	2649
Pakistan	1286453	431	28761	8	1245344	189	12348	858	5667	127	22165834	97652	226988925	Asia	176	7892	10	2.0	0.04	54
Serbia	1262419	1613	11876	39	1206586	3728	43957	164	145319	1367	6872899	791148	8687247	Europe	7	731	1	186.0	4.0	5060
Sweden	1212145	0	15136	0	1161101	0	35908	43	118967	1486	13708481	1345433	10188897	Europe	8	673	1	0.0	0.0	3524
Austria	1193286	7304	12753	60	1063484	13433	117049	648	131426	1405	112234412	12361239	9079544	Europe	8	712	0	804.0	7.0	12892
Portugal	1163001	5649	18514	22	1085654	3233	58833	130	114532	1823	21748627	2141800	10154367	Europe	9	548	0	556.0	2.0	5794
Hungary	1134869	0	35122	0	910745	0	189002	566	117903	3649	8559975	889309	9625418	Europe	8	274	1	0.0	0.0	19636
Switzerland	1039730	0	11612	0	867860	0	160258	213	118898	1328	12597593	1440598	8744699	Europe	8	753	1	0.0	0.0	18326
Kazakhstan	974455	686	12754	20	940688	1122	21013	528	51029	668	11575012	606142	19096213	Asia	20	1497	2	36.0	1.0	1100
Jordan	971401	2976	11715	28	899555	1827	60131	1159	93880	1132	12351487	1193697	10347257	Asia	11	883	1	288.0	3.0	5811
Cuba	963002	110	8307	1	954030	148	665	13	85095	734	11160862	986223	11316771	North America	12	1362	1	10.0	0.09	59
Greece	962695	5143	18516	89	868028	7433	76151	697	93009	1789	37943822	3665878	10350540	Europe	11	559	0	497.0	9.0	7357
Morocco	950501	127	14787	3	932835	98	2879	347	25324	394	10491463	279527	37532940	Africa	39	2538	4	3.0	0.08	77
Georgia	861883	3950	12298	40	801864	2014	47721	0	216648	3091	11768907	2958304	3978262	Asia	5	323	0	993.0	10.0	11995
Nepal	822392	220	11540	5	804108	392	6744	0	27521	386	4654685	155770	29881825	Asia	36	2589	6	7.0	0.2	226
UAE	742214	51	2148	0	737172	69	2894	0	73776	214	102058059	10144537	10060396	Asia	14	4684	0	5.0	0.0	288
Slovakia	722108	9359	14771	75	587717	9081	119620	628	132172	2704	4704977	861180	5463407	Europe	8	370	1	1713.0	14.0	21895
Tunisia	718278	219	25398	8	691522	112	1358	68	59884	2117	3194270	266310	11994571	Africa	17	472	4	18.0	0.7	113
Bulgaria	702454	985	28805	36	573112	2871	100537	677	102191	4190	6688246	972986	6873938	Europe	10	239	1	143.0	5.0	14626
Lebanon	677147	1382	8765	10	634994	0	33388	186	99846	1292	4795578	707113	6781912	Asia	10	774	1	204.0	1.0	4923
Belarus	662056	1852	5147	17	650577	2272	6332	0	70097	545	10501698	1111891	9444897	Europe	14	1835	1	196.0	2.0	670
Croatia	628241	4465	11150	54	585743	4712	31348	317	154389	2740	3501268	860430	4069207	Europe	6	365	1	1097.0	13.0	7704
Guatemala	619542	502	15980	8	602343	519	1219	5	33695	869	3147862	171203	18386681	North America	30	1151	6	27.0	0.4	66
Azerbaijan	594994	1406	7947	18	562786	1787	24261	0	57940	774	5591270	544469	10269223	Asia	17	1292	2	137.0	2.0	2362
Ireland	589094	5622	5707	0	454362	3035	129025	114	117437	1138	8983297	1790837	5016257	Europe	9	879	1	1121.0	0.0	25721
