#	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
	Asia	115603688	565490	1345056	1938	106788431	421651	7470201	30769						Asia						
	North America	94781567	50075	1400565	1112	65441927	194699	27939075	14873						North America						
	South America	54161132	119201	1256618	1275	47620730	139994	5283784	13459						South America						
	Europe	155166581	549858	1704142	2042	131047415	935059	22415024	15457						Europe						
	Africa	11513966	6834	249114	+170	10597863	10565	666989	1845						Africa						
	Oceania	3482507	36020	7714	+36	3164706	22372	310087	217						Australia/Oceania						
		721		15		706		0	0												
	World	434710162	1327478	5963224	6573	364661778	1724340	64085160	76620	55769	765.0				All						
1	China	108853	+249	4636		101786	+72	2431	18	76	3	160000000	111163	1439323776	Asia	13223	310467	9	0.2		2
2	USA	80560293	26003	972930	+635	53037045	170795	26550318	8636	241043	2911	947533088	2835098	334215330	North America	4	344	0	78	2	79441
3	India	42916117	10273	513756	+244	42290921	20439	111440	8944	30601	366	765735314	545995	1402457970	Asia	33	2730	2	7	0.2	79
4	Brazil	28744050	72856	648989	+722	26082511	87945	2012550	8318	133656	3018	63776166	296550	215060231	South America	7	331	3	339	3	9358
5	France	22646732	53623	138059	+101	20620413	155251	1888260	3055	345685	2107	243529298	3717290	65512597	Europe	3	475	0	819	2	28823
6	UK	18804765		161224		17153253		1490288	289	274617	2354	480341745	7014719	68476267	Europe	4	425	0			21764
7	Russia	16175023	122995	350158	+793	13321314	181343	2503551	2300	110759	2398	273400000	1872115	146038047	Europe	9	417	1	842	5	17143
8	Germany	14633511	129360	123283	+153	10758500	129200	3751728	2494	173738	1464	104701826	1243085	84227395	Europe	6	683	1	1536	2	44543
9	Turkey	13975389	61764	94026	+221	13219507	85552	661856	1128	162806	1095	143006562	1665949	85840907	Asia	6	913	1	720	3	7710
10	Italy	12733929	39624	154416	+210	11437706	74516	1141807	763	211125	2560	186820082	3097424	60314654	Europe	5	391	0	657	3	18931
11	Spain	10977524		99410		9181728		1696386	1053	234639	2125	471036328	10068158	46784756	Europe	4	471	0			36259
12	Argentina	8893568	5595	126048	+90	8658068	13430	109452	1170	193835	2747	34208010	745563	45882140	South America	5	364	1	122	2	2386
13	Iran	7030943	7039	136390	+224	6616633	14216	277920	3966	81973	1590	46780865	545410	85771863	Asia	12	629	2	82	3	3240
