#	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
	Asia	82874134	84304	1228651	1727	80146988	101863	1498495	30592						Asia						
	North America	60342707	143311	1209150	1777	48449191	71979	10684366	20584						North America						
	South America	39160785	19291	1185468	+383	37227170	16225	748147	12798						South America						
	Europe	77114130	402953	1451115	4272	67423888	286473	8239127	23037						Europe						
	Africa	8922709	33606	225023	+109	8190023	6145	507663	1798						Africa						
	Oceania	384114	1918	4320	+10	344932	1805	34862	142						Australia/Oceania						
		721		15		706		0	0												
	World	268799300	685383	5303742	8278	241782898	484490	21712660	88951	34484	680.4				All						
1	China	99454	+83	4636		93628	+26	1190	24	69	3	160000000	111163	1439323776	Asia	14472	310467	9	0.06		0.8
2	USA	50568418	133385	815752	1417	39880092	64124	9872574	14647	151494	2444	770247200	2307531	333797157	North America	7	409	0	400	4	29577
3	India	34674744	8503	474735	+624	34097388	8251	102621	8944	24776	339	653243539	466759	1399531786	Asia	40	2948	2	6	0.4	73
4	Brazil	22177059	9278	616504	+206	21407699	8383	152856	8318	103277	2871	63776166	297000	214734593	South America	10	348	3	43	1.0	712
5	UK	10660971	50863	146135	+148	9378165	37775	1136671	890	155863	2136	373037852	5453813	68399452	Europe	6	468	0	744	2	16618
6	Russia	9925806	30209	286004	1181	8637861	35794	1001941	2300	67974	1959	229800000	1573708	146024586	Europe	15	511	1	207	8	6861
7	Turkey	8984407	19696	78602	+195	8543785	27263	362020	1128	104903	918	110866117	1294482	85645129	Asia	10	1090	1	230	2	4227
8	France	8105785	56854	120168	+136	7252512	21087	733105	2461	123787	1835	170480237	2603487	65481511	Europe	8	545	0	868	2	11196
9	Germany	6404768	65175	105435	+503	5278300	52600	1021033	4636	76093	1253	85782441	1019160	84169720	Europe	13	798	1	774	6	12131
10	Iran	6147872	3228	130524	+78	5950425	6958	66923	3169	71871	1526	39739512	464573	85539819	Asia	14	655	2	38	0.9	782
11	Argentina	5350867	2744	116719	+11	5209333	2422	24815	707	116850	2549	26575189	580337	45792710	South America	9	392	2	60	0.2	542
12	Spain	5273178	13957	88321	+50	4941596	2089	243261	1041	112721	1888	66213858	1415405	46780860	Europe	9	530	1	298	1	5200
13	Italy	5164773	12520	134551	+79	4775676	7098	254546	811	85603	2230	124209339	2058703	60333768	Europe	12	448	0	208	1	4219
14	Colombia	5088008	1627	128969	+40	4928885	1781	30154	342	98484	2496	28506132	551766	51663404	South America	10	401	2	31	0.8	584
15	Indonesia	4258560	+220	143918	+9	4109364	+296	5278		15336	518	57287944	206305	277686164	Asia	65	1929	5	0.8	0.03	19
16	Mexico	3908534	3215	295893	+292	3264585	2163	348056	4798	29863	2261	12000517	91689	130882288	North America	33	442	11	25	2	2659
17	Poland	3760045	27455	87357	+562	3211558	16827	461130	2053	99507	2312	25322586	670142	37786907	Europe	10	433	1	727	15	12203
18	Ukraine	3532357	12376	89901	+465	3133970	24547	308486	177	81475	2074	16199355	373642	43355238	Europe	12	482	3	285	11	7115
19	South Africa	3093452	22388	90060	+22	2870329	2363	133063	546	51229	1491	19988045	331012	60384640	Africa	20	670	3	371	0.4	2204
20	Philippines	2835821	+387	49936	+176	2773703	+694	12182	899	25392	447	24522686	219581	111679536	Asia	39	2236	5	3	2	109
21	Netherlands	2828655	19763	19919	+77	2204254	11210	604482	645	164557	1159	19205114	1117260	17189470	Europe	6	863	1	1150	4	35166
22	Malaysia	2678465	5446	30787	+41	2586822	5427	60856	419	81258	934	38880624	1179535	32962670	Asia	12	1071	1	165	1	1846
23	Czechia	2298507	16185	34188	+96	1981319	+643	283000	1072	214062	3184	45172922	4206988	10737592	Europe	5	314	0	1507	9	26356
24	Peru	2249671	1224	201527	+37	N/A	N/A	N/A	977	66890	5992	20708063	615713	33632647	South America	15	167	2	36	1	9737
25	Thailand	2156587	4203	21082	+49	2075088	7939	60417	1369	30785	301	14913135	212886	70052200	Asia	32	3323	5	60	0.7	862
26	Iraq	2086702	+510	23943	+12	2053418	+762	9341	94	50258	577	16507647	397585	41519809	Asia	20	1734	3	12	0.3	225
27	Belgium	1898498	18714	27416	+56	1403052	7693	468030	815	162790	2351	25571605	2192682	11662249	Europe	6	425	0	1605	5	40132
28	Canada	1823010	4268	29876	+24	1761839	2859	31295	469	47700	782	49711113	1300709	38218474	North America	21	1279	1	112	0.6	819
29	Romania	1790571	1032	57459	+97	1709702	1734	23410	754	93979	3016	16317446	856433	19052803	Europe	11	332	1	54	5	1229
30	Chile	1778370	1771	38600	+59	1674647	1740	65123	688	91894	1995	26172828	1352433	19352398	South America	11	501	1	92	3	3365
31	Japan	1728237	+124	18369	+2	1709008	+84	860	26	13725	146	28311957	224843	125918735	Asia	73	6855	4	1.0	0.02	7
32	Bangladesh	1578550	+262	28016		1543491	+287	7043	1360	9450	168	11062902	66225	167050838	Asia	106	5963	15	2		42
33	Vietnam	1367433	15311	27186	+256	1050979	14586	289268	7697	13869	276	70692311	716966	98599197	Asia	72	3627	1	155	3	2934
34	Israel	1348959	+626	8210		1334647	+680	6102	90	144645	880	35803751	3839133	9326000	Asia	7	1136	0	67		654
35	Pakistan	1288053	+350	28803	+10	1249421	2355	9829	771	5673	127	22385347	98588	227059355	Asia	176	7883	10	2	0.04	43
36	Serbia	1270407	1620	12075	+39	1221021	2040	37311	197	146248	1390	6941684	799119	8686672	Europe	7	719	1	186	4	4295
37	Sweden	1229217	3063	15158	+1	1165341	1322	48718	56	120631	1488	13934770	1367504	10189927	Europe	8	672	1	301	0.10	4781
38	Austria	1217436	4437	13011	+32	1119866	9894	84559	627	134073	1433	113992857	12553747	9080385	Europe	7	698	0	489	4	9312
39	Portugal	1181294	3588	18610	+23	1097554	1269	65130	142	116339	1833	22298899	2196096	10153882	Europe	9	546	0	353	2	6414
40	Hungary	1176038	7310	36263	+215	955248	6863	184527	579	122186	3768	8734938	907524	9625017	Europe	8	265	1	759	22	19172
41	Switzerland	1101360	9325	11772	+17	883870	4177	205718	261	125931	1346	12962217	1482119	8745735	Europe	8	743	1	1066	2	23522
42	Jordan	998492	5153	11879	+29	920660	4254	65953	1218	96483	1148	12619199	1219374	10348917	Asia	10	871	1	498	3	6373
43	Greece	989814	5513	18982	+81	901782	5773	69050	708	95637	1834	39557077	3822047	10349710	Europe	10	545	0	533	8	6672
44	Kazakhstan	977714	+683	12814	+12	945529	1044	19371	528	51189	671	11575012	606025	19099894	Asia	20	1491	2	36	0.6	1014
45	Cuba	963428	+81	8311		954659	+87	458	13	85134	734	11269893	995868	11316658	North America	12	1362	1	7		40
46	Morocco	951092	+146	14794	+2	934009	+351	2289	347	25335	394	10536031	280661	37540110	Africa	39	2538	4	4	0.05	61
47	Georgia	879368	3562	12582	+63	822108	4145	44678		221050	3163	11989404	3013824	3978137	Asia	5	316	0	895	16	11231
48	Nepal	823554	+197	11549	+2	805900	+329	6105	114	27552	386	4696366	157119	29890427	Asia	36	2588	6	7	0.07	204
49	Slovakia	757492	8523	15179	+84	626808	10074	115505	605	138647	2778	4805554	879582	5463451	Europe	7	360	1	1560	15	21141
50	UAE	742567	+60	2149		737656	+86	2762		73797	214	103868670	10322502	10062354	Asia	14	4682	0	6		274
51	Tunisia	719006	+140	25416	+3	692284	+216	1306	53	59934	2119	3216015	268077	11996597	Africa	17	472	4	12	0.3	109
52	Bulgaria	711364	1827	29382	+103	583879	2130	98103	643	103500	4275	6828318	993487	6873085	Europe	10	234	1	266	15	14274
53	Lebanon	685162	1836	8814	+10	638964	+899	37384	186	101035	1300	4795578	707165	6781413	Asia	10	769	1	271	1	5513
54	Belarus	669632	1739	5227	+17	659224	2115	5181		70899	553	10600869	1122397	9444846	Europe	14	1807	1	184	2	549
55	Croatia	644206	4428	11445	+62	605078	3904	27683	321	158328	2813	3548144	872038	4068794	Europe	6	356	1	1088	15	6804
56	Guatemala	621328	+475	16020	+12	604245	+489	1063	5	33782	871	3173763	172561	18392121	North America	30	1148	6	26	0.7	58
57	Ireland	610855	4003	5788		472090	3497	132977	115	121753	1154	9178076	1829337	5017161	Europe	8	867	1	798		26504
58	Azerbaijan	601028	1315	8038	+19	571088	1850	21902		58519	783	5644853	549606	10270719	Asia	17	1278	2	128	2	2132
59	Sri Lanka	570672	+744	14555	+22	543823	+356	12294		26490	676	5695096	264365	21542528	Asia	38	1480	4	35	1	571
60	Costa Rica	567906	+82	7328	+4	558201	+581	2377	68	110036	1420	2715029	526059	5161073	North America	9	704	2	16	0.8	461
61	Saudi Arabia	550088	+45	8850	+1	539277	+72	1961	29	15455	249	31867094	895300	35593757	Asia	65	4022	1	1	0.03	55
62	Bolivia	547892	1737	19276	+12	500575	1011	28041	220	46033	1620	2593083	217868	11902109	South America	22	617	5	146	1	2356
63	Denmark	536195	6985	2983	+11	463845	4383	69367	67	92105	512	97359695	16723947	5821574	Europe	11	1952	0	1200	2	11916
64	Ecuador	530865		33498		443880		53487	759	29446	1858	2053558	113907	18028438	South America	34	538	9			2967
65	Myanmar	525750	+347	19162	+5	501520		5068		9570	349	5734899	104394	54934914	Asia	104	2867	10	6	0.09	92
66	S. Korea	496584	7100	4077	+57	424220	10480	68287	857	9674	79	15804065	307875	51332731	Asia	103	12591	3	138	1	1330
67	Lithuania	486377	1796	6925	+22	451120	1833	28332	125	182331	2596	6304833	2363528	2667552	Europe	5	385	0	673	8	10621
68	Panama	480090	+189	7382	+1	469690	+259	3018	20	108803	1673	4293279	972988	4412467	North America	9	598	1	43	0.2	684
69	Paraguay	463580	+58	16492	+4	446432	+60	656	56	63866	2272	1972643	271766	7258607	South America	16	440	4	8	0.6	90
70	Venezuela	436602	+424	5223	+7	424183	+497	7196	681	15417	184	3359014	118610	28319882	South America	65	5422	8	15	0.2	254
71	Slovenia	436366	1687	5365	+11	405991	2659	25010	251	209857	2580	1983509	953908	2079350	Europe	5	388	1	811	5	12028
72	Palestine	433217	+296	4562	+4	424997	+243	3658	52	82176	865	2769464	525331	5271849	Asia	12	1156	2	56	0.8	694
73	Kuwait	413608	+20	2466		410810	+24	332	3	94833	565	5512287	1263872	4361427	Asia	11	1769	1	5		76
74	Dominican Republic	409490	+258	4214	+2	403534	+121	1742	129	37211	383	2491974	226451	11004475	North America	27	2611	4	23	0.2	158
75	Uruguay	401897	+257	6140	+2	393446	+188	2311	15	115122	1759	4185457	1198905	3491065	South America	9	569	1	74	0.6	662
76	Mongolia	384626	+338	2026	+3	313256		69344	192	114669	604	4030048	1201484	3354225	Asia	9	1656	1	101	0.9	20674
77	Honduras	378423	+26	10416		122472	+98	245535	52	37352	1028	1125268	111070	10131195	North America	27	973	9	3		24236
78	Libya	376873	+495	5529	+11	360908	1175	10436		53795	789	1942284	277242	7005723	Africa	19	1267	4	71	2	1490
79	Ethiopia	372711	+123	6819	+3	350072	+94	15820	177	3131	57	3918821	32916	119055493	Africa	319	17459	30	1	0.03	133
80	Moldova	368497	+549	9315	+22	353011	+533	6171	234	91655	2317	2241776	557592	4020458	Europe	11	432	2	137	5	1535
81	Egypt	366634	+803	20919	+42	304747	+591	40968	90	3488	199	3693367	35138	105109751	Africa	287	5025	28	8	0.4	390
82	Armenia	341768	+300	7747	+19	323016	+202	11005		115026	2607	2427511	817008	2971219	Asia	9	384	1	101	6	3704
83	Norway	305368	5355	1135	+1	88952		215281	103	55701	207	8803974	1605901	5482263	Europe	18	4830	1	977	0.2	39269
84	Oman	304679	+25	4113		300066	+9	500	1	57560	777	25000000	4723011	5293233	Asia	17	1287	0	5		94
85	Bosnia and Herzegovina	280469	+649	12882	+28	192218		75369		86260	3962	1423567	437829	3251419	Europe	12	252	2	200	9	23180
86	Bahrain	277964	+29	1394		276237	+43	333	1	155594	780	7570260	4237557	1786468	Asia	6	1282	0	16		186
87	Singapore	271979	+682	779	+5	264225	1474	6975	40	45969	132	21098774	3566045	5916575	Asia	22	7595	0	115	0.8	1179
88	Latvia	260008	+793	4349	+24	244974	1223	10685	114	140079	2343	5423518	2921918	1856150	Europe	7	427	0	427	13	5757
89	Kenya	255796	+144	5339	+2	248480	+7	1977	2	4611	96	2874395	51815	55473788	Africa	217	10390	19	3	0.04	36
90	Qatar	244867	+159	611		241938	+141	2318	13	87209	218	3044822	1084414	2807805	Asia	11	4595	1	57		826
91	Estonia	226854	+550	1838	+2	211051	+838	13965	30	170847	1384	2384779	1796011	1327820	Europe	6	722	1	414	2	10517
92	Australia	223912	1651	2082	+10	207023	1562	14807	80	8637	80	49442341	1907083	25925643	Australia/Oceania	116	12452	1	64	0.4	571
93	North Macedonia	218362	+168	7695	+7	204960	+275	5707		104818	3694	1493451	716885	2083251	Europe	10	271	1	81	3	2739
94	Nigeria	215918	+754	2981	+1	207619	+99	5318	11	1011	14	3629527	17002	213481154	Africa	989	71614	59	4		25
95	Algeria	212224	+177	6126	+4	145846	+169	60252	19	4717	136	230861	5131	44989739	Africa	212	7344	195	4	0.09	1339
96	Zambia	210562	+126	3668		206520	+19	374	15	11011	192	2763076	144486	19123497	Africa	91	5214	7	7		20
97	Albania	202863	+222	3128	+2	194026	+493	5709	23	70604	1089	1413555	491967	2873271	Europe	14	919	2	77	0.7	1987
98	Finland	199257	1781	1406	+11	46000		151851	60	35882	253	8131493	1464312	5553116	Europe	28	3950	1	321	2	27345
99	Botswana	196090	+538	2421	+1	192452		1217	1	81033	1000	1929047	797163	2419891	Africa	12	1000	1	222	0.4	503
100	Uzbekistan	195098	+194	1428	+3	191781	+179	1889	23	5710	42	1377915	40329	34167011	Asia	175	23926	25	6	0.09	55
101	Kyrgyzstan	183810	+66	2764	+2	178851	+74	2195	131	27521	414	1858991	278333	6679011	Asia	36	2416	4	10	0.3	329
102	Montenegro	159214	+180	2340	+4	154658	+163	2216	60	253453	3725	923783	1470571	628180	Europe	4	268	1	287	6	3528
103	Afghanistan	157587	+44	7322	+3	141498	+8	8767	1124	3921	182	800915	19929	40188447	Asia	255	5489	50	1	0.07	218
104	Zimbabwe	155817	5189	4723	+3	129136	+41	21958	12	10269	311	1670441	110084	15174181	Africa	97	3213	9	342	0.2	1447
105	Mozambique	152586	+260	1941		149622	+39	1023	8	4693	60	994757	30595	32513247	Africa	213	16751	33	8		31
106	Cyprus	139368	+635	607	+2	124370		14391	44	114235	498	9477138	7768069	1220012	Asia	9	2010	0	520	2	11796
107	Ghana	131246		1228		129326		692	5	4101	38	1933408	60409	32005376	Africa	244	26063	17			22
108	Namibia	130676	+446	3575		125767	+158	1334	3	50124	1371	807729	309822	2607077	Africa	20	729	3	171		512
109	Uganda	127796	+41	3263	+2	97716	+19	26817	100	2673	68	2003614	41903	47815108	Africa	374	14654	24	0.9	0.04	561
110	Cambodia	120312	+12	2974	+3	116668	+13	670		7056	174	2725832	159855	17051855	Asia	142	5734	6	0.7	0.2	39
111	El Salvador	119803		3791	+1	102982		13030	246	18337	580	1440742	220522	6533327	North America	55	1723	5		0.2	1994
112	Cameroon	107549		1823		102716		3010	152	3912	66	1751774	63712	27495358	Africa	256	15082	16			109
113	Rwanda	100517	+53	1344		45522		53651	1	7494	100	3598806	268296	13413573	Africa	133	9980	4	4		4000
114	Luxembourg	93060	+486	889		86508	+550	5663	21	145264	1388	3730445	5823125	640626	Europe	7	721	0	759		8840
115	Maldives	92754	+125	255		90625	+140	1874	23	167355	460	1786407	3223194	554235	Asia	6	2173	0	226		3381
116	Jamaica	91601	+23	2416	+1	63310	+50	25875	6	30741	811	680013	228209	2979777	North America	33	1233	4	8	0.3	8684
117	Laos	84503	1212	224	+5	7339		76940		11377	30	842022	113366	7427440	Asia	88	33158	9	163	0.7	10359
118	Trinidad and Tobago	78339	+857	2336	+16	62397	+466	13606	22	55717	1661	468895	333492	1406014	North America	18	602	3	610	11	9677
119	Senegal	74054	+11	1886		72129	+9	39	2	4261	109	885929	50980	17377844	Africa	235	9214	20	0.6		2
120	Angola	65346	+14	1736	+1	63377	+4	233	3	1903	51	1192540	34733	34334275	Africa	525	19778	29	0.4	0.03	7
121	Réunion	63863		391		59685		3787	34	70605	432	1347378	1489622	904510	Africa	14	2313	1			4187
122	Malawi	62088	+35	2307		58846	+20	935	67	3129	116	448862	22624	19840176	Africa	320	8600	44	2		47
123	Ivory Coast	61863	+6	706		60929	+20	228		2265	26	1169635	42817	27316883	Africa	442	38692	23	0.2		8
124	DRC	59208	+33	1115	+2	50930		7163		633	12	306299	3277	93471423	Africa	1579	83831	305	0.4	0.02	77
125	Guadeloupe	55284		748		2250		52286	23	138133	1869	551264	1377392	400223	North America	7	535	1			130642
126	Fiji	52572	+5	697		51152	+11	723		58040	769	464528	512840	905796	Australia/Oceania	17	1300	2	6		798
127	Suriname	51124	+41	1175		29583		20366	12	86039	1977	162590	273629	594198	South America	12	506	4	69		34275
128	Eswatini	50337	1084	1248		45337	+41	3752	11	42751	1060	399545	339330	1177452	Africa	23	943	3	921		3187
129	Syria	49008	+107	2798	+5	30180	+110	16030		2706	154	113162	6248	18111579	Asia	370	6473	160	6	0.3	885
130	French Guiana	46365	+61	331		11254		34780	9	149659	1068	461619	1490031	309805	South America	7	936	1	197		112264
131	French Polynesia	46334	+2	636		N/A	N/A	N/A	7	163582	2245			283246	Australia/Oceania	6	445		7		43065
132	Martinique	45501		718		104		44679	1	121386	1915	416247	1110448	374846	North America	8	522	1			119193
133	Madagascar	44800		972		43119		709	22	1560	34	290447	10115	28713829	Africa	641	29541	99			25
134	Sudan	44406		3206	+5	36009		5191		980	71	238579	5264	45320648	Africa	1021	14136	190		0.1	115
135	Malta	40269	+81	469	+1	38052	+107	1748	4	90852	1058	1211456	2733208	443236	Europe	11	945	0	183	2	3944
136	Mauritania	39704	+35	846	+2	38206	+82	652	16	8228	175	521870	108154	4825245	Africa	122	5704	9	7	0.4	135
137	Cabo Verde	38482	+12	351		38000	+5	131	23	68149	622	211166	373958	564678	Africa	15	1609	3	21		232
138	Guyana	38402	+69	1014	+5	36505	+143	883	14	48486	1280	401972	507530	792017	South America	21	781	2	87	6	1115
139	Gabon	37551		281		33761		3509	7	16318	122	1418104	616243	2301209	Africa	61	8189	2			1525
140	Papua New Guinea	35835	+133	573		34917	+206	345	7	3899	62	249149	27109	9190720	Australia/Oceania	256	16040	37	14		38
141	Belize	30991	+61	586	+1	29536	+71	869	10	75957	1436	360549	883681	408008	North America	13	696	1	150	2	2130
142	Guinea	30798		388		29753		657	49	2257	28	569940	41771	13644524	Africa	443	35166	24			48
143	Barbados	26565	+132	246	+2	24064	+230	2255		92277	855	447564	1554679	287882	North America	11	1170	1	459	7	7833
