#	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
	Asia	82954455	80321	1229920	1269	80220734	73949	1503801	30527						Asia						
	North America	60490138	147429	1211119	1958	48528873	79682	10750146	20758						North America						
	South America	39179372	18587	1185953	+485	37234993	7823	758426	12803						South America						
	Europe	77503469	390476	1455401	4224	67756201	281999	8291867	22974						Europe						
	Africa	8954359	31610	225169	+145	8203766	13373	525424	1793						Africa						
	Oceania	385956	1842	4322	+2	346500	1568	35134	149						Australia/Oceania						
		721		15		706		0	0												
	World	269468470	670265	5311899	8083	242291773	458394	21864798	89004	34570	681.5				All						
1	China	99517	+63	4636		93659	+31	1222	29	69	3	160000000	111163	1439323776	Asia	14463	310467	9	0.04		0.8
2	USA	50705257	136839	817343	1580	39951693	71601	9936221	14839	151902	2449	772474927	2314168	333802450	North America	7	408	0	410	5	29767
3	India	34682736	7992	475128	+393	34105066	7678	102542	8944	24781	339	653376628	466841	1399568826	Asia	40	2946	2	6	0.3	73
4	Brazil	22184824	7765	616733	+229	21407699		160392	8318	103311	2872	63776166	296994	214738715	South America	10	348	3	36	1	747
5	UK	10717371	57596	146255	+120	9414117	35952	1156999	900	156686	2138	374468898	5474658	68400424	Europe	6	468	0	842	2	16915
6	Russia	9956679	30873	287180	1176	8673518	35657	995981	2300	68185	1967	230400000	1577815	146024756	Europe	15	508	1	211	8	6821
7	Turkey	9002968	18561	78778	+176	8568914	25129	355276	1128	105116	920	111213349	1298499	85647607	Asia	10	1087	1	217	2	4148
8	France	8161124	55339	120318	+150	7252376		788430	2461	124632	1837	170480237	2603471	65481904	Europe	8	544	0	845	2	12040
9	Germany	6463737	58969	105931	+496	5329300	51000	1028506	4636	76793	1259	87852398	1043744	84170450	Europe	13	795	1	701	6	12219
10	Iran	6150843	2971	130603	+79	5957017	6592	63223	3154	71904	1527	39846085	465803	85542756	Asia	14	655	2	35	0.9	739
11	Argentina	5354440	3573	116748	+29	5211264	1931	26428	706	116925	2549	26619622	581293	45793842	South America	9	392	2	78	0.6	577
12	Spain	5290190	17012	88381	+60	4943735	2139	258074	1056	113084	1889	66213858	1415403	46780909	Europe	9	529	1	364	1	5517
13	Italy	5185263	20490	134669	+118	4787453	11777	263141	816	85943	2232	124925626	2070584	60333526	Europe	12	448	0	340	2	4361
14	Colombia	5089695	1687	129011	+42	4930529	1644	30155	342	98514	2497	28559483	552783	51664885	South America	10	400	2	33	0.8	584
15	Indonesia	4258752	+192	143923	+5	4109675	+311	5154		15336	518	57596611	207410	277694062	Asia	65	1929	5	0.7	0.02	19
16	Mexico	3911714	3180	296186	+293	3266965	2380	348563	4798	29886	2263	12024114	91867	130885987	North America	33	442	11	24	2	2663
17	Poland	3785034	24989	87928	+571	3237017	25459	460089	2070	100168	2327	25430252	672993	37786794	Europe	10	430	1	661	15	12176
18	Ukraine	3543684	11327	90343	+442	3158426	24456	294915	177	81737	2084	16234638	374462	43354523	Europe	12	480	3	261	10	6802
19	South Africa	3112469	19017	90080	+20	2878855	8526	143534	546	51542	1492	20071560	332384	60386682	Africa	19	670	3	315	0.3	2377
20	Netherlands	2846126	17471	20004	+85	2216825	12571	609297	651	165573	1164	19205114	1117254	17189574	Europe	6	859	1	1016	5	35446
21	Philippines	2836004	+183	49961	+25	2774013	+310	12030	899	25393	447	24522686	219573	111683522	Asia	39	2235	5	2	0.2	108
22	Malaysia	2683523	5058	30831	+44	2591819	4997	60873	393	81408	935	39027002	1183935	32963803	Asia	12	1069	1	153	1	1847
23	Czechia	2312809	14243	34319	+101	2032220	+587	246270	1086	215393	3196	45289898	4217861	10737646	Europe	5	313	0	1326	9	22935
24	Peru	2251027	1356	201650	+123	N/A	N/A	N/A	993	66927	5995	20753581	617044	33633902	South America	15	167	2	40	4	9773
25	Thailand	2160780	4193	21110	+28	2082951	7863	56719	1369	30845	301	14913135	212885	70052677	Asia	32	3318	5	60	0.4	810
26	Iraq	2087247	+545	23959	+16	2054081	+663	9207	84	50268	577	16527739	398045	41522281	Asia	20	1733	3	13	0.4	222
27	Belgium	1914527	16029	27463	+47	1411414	8362	475650	825	164163	2355	25683360	2202239	11662387	Europe	6	425	0	1374	4	40785
28	Canada	1827755	4745	29900	+24	1764867	3028	32988	469	47823	782	49829014	1303763	38219377	North America	21	1278	1	124	0.6	863
29	Romania	1791502	+931	57563	+72	1711942	2240	21997	706	94030	3021	16357744	858564	19052454	Europe	11	331	1	49	4	1155
30	Chile	1779865	1495	38638	+38	1676752	2105	64475	682	91969	1997	26225407	1355119	19352846	South America	11	501	1	77	2	3332
31	Japan	1728410	+173	18371	+2	1709126	+118	913	27	13727	146	28364634	225263	125917681	Asia	73	6854	4	1	0.02	7
32	Bangladesh	1578819	+269	28017	+1	1543740	+249	7062	1369	9451	168	11082954	66343	167055318	Asia	106	5963	15	2	0.01	42
33	Vietnam	1382272	14839	27402	+216	1052341	1362	302529	7681	14019	278	70692311	716949	98601587	Asia	71	3598	1	150	2	3068
34	Israel	1349385	+426	8210		1335236	+589	5939	92	144691	880	35924740	3852106	9326000	Asia	7	1136	0	46		637
35	Pakistan	1288366	+313	28812	+9	1250069	+648	9485	758	5674	127	22428325	98772	227071093	Asia	176	7881	10	1	0.04	42
36	Serbia	1271794	1387	12113	+38	1223753	2732	35928	187	146409	1394	6955451	800713	8686577	Europe	7	717	1	160	4	4136
37	Sweden	1229217		15158		1166352	1011	47707	48	120629	1488	13934770	1367481	10190099	Europe	8	672	1			4682
38	Austria	1221095	3659	13076	+65	1129438	9572	78581	598	134474	1440	114403886	12598818	9080525	Europe	7	694	0	403	7	8654
39	Portugal	1185036	3742	18626	+16	1101911	4357	64499	137	116709	1834	22443244	2210329	10153801	Europe	9	545	0	369	2	6352
40	Hungary	1182922	6884	36429	+166	968897	13649	177596	573	122902	3785	8768881	911057	9624951	Europe	8	264	1	715	17	18452
41	Switzerland	1106573	5213	11783	+11	887573	3703	207217	273	126525	1347	13030943	1489947	8745908	Europe	8	742	1	596	1	23693
42	Jordan	1003428	4936	11917	+38	924702	4042	66809	1218	96957	1151	12619199	1219341	10349193	Asia	10	868	1	477	4	6455
43	Greece	994901	5087	19085	+103	905524	3742	70292	702	96130	1844	40028300	3867629	10349571	Europe	10	542	0	492	10	6792
44	Kazakhstan	978362	+648	12828	+14	946451	+922	19083	528	51222	672	11575012	606005	19100508	Asia	20	1489	2	34	0.7	999
45	Cuba	963493	+65	8311		954741	+82	441	15	85139	734	11289974	997644	11316640	North America	12	1362	1	6		39
46	Morocco	951267	+175	14795	+1	934373	+364	2099	347	25339	394	10547914	280968	37541305	Africa	39	2537	4	5	0.03	56
47	Georgia	882822	3454	12631	+49	825442	3334	44749		221920	3175	12040027	3026564	3978117	Asia	5	315	0	868	12	11249
48	Nepal	823786	+232	11552	+3	806237	+337	5997	114	27559	386	4702838	157328	29891861	Asia	36	2588	6	8	0.1	201
49	Slovakia	764112	6620	15236	+57	636055	9247	112821	605	139859	2789	4825139	883166	5463458	Europe	7	359	1	1212	10	20650
50	UAE	742641	+74	2151	+2	737749	+93	2741		73802	214	104174110	10352520	10062681	Asia	14	4678	0	7	0.2	272
51	Tunisia	719247	+241	25419	+3	692463	+179	1365	50	59953	2119	3220850	268473	11996935	Africa	17	472	4	20	0.3	114
52	Bulgaria	713083	1719	29459	+77	586208	2329	97416	628	103752	4286	6866448	999055	6872943	Europe	10	233	1	250	11	14174
53	Lebanon	686725	1563	8824	+10	638964		38937	186	101267	1301	4795578	707174	6781330	Asia	10	769	1	230	1	5742
54	Belarus	671432	1800	5245	+18	661296	2072	4891		71090	555	10626257	1125086	9444838	Europe	14	1801	1	191	2	518
55	Croatia	648003	3797	11516	+71	609663	4585	26824	326	159264	2830	3559322	874800	4068726	Europe	6	353	1	933	17	6593
56	Guatemala	621844	+516	16029	+9	604817	+572	998	5	33809	871	3180830	172937	18393028	North America	30	1147	6	28	0.5	54
57	Ireland	614952	4097	5788		475058	2968	134106	110	122566	1154	9313992	1856371	5017312	Europe	8	867	1	817		26729
58	Azerbaijan	602137	1109	8055	+17	573034	1946	21048		58625	784	5655385	550618	10270969	Asia	17	1275	2	108	2	2049
59	Sri Lanka	571426	+754	14573	+18	544200	+377	12653		26525	676	5726599	265825	21542773	Asia	38	1478	4	35	0.8	587
