#	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
	Asia	82214759	90435	1215458	1551	79494700	80390	1504601	30870						Asia						
	North America	59279475	129636	1196200	2033	47817170	91377	10266105	19501						North America						
	South America	39007003	19133	1182431	+372	37096290	24269	728282	12699						South America						
	Europe	74107337	416597	1419732	4364	65143210	259246	7544395	22015						Europe						
	Africa	8748390	12802	223815	+149	8133068	4693	391507	1847						Africa						
	Oceania	370138	1663	4218	+6	331280	2256	34640	160						Australia/Oceania						
		721		15		706		0	0												
	World	263727823	670266	5241869	8475	238016424	462231	20469530	87092	33834	672.5				All						
1	China	98824	+113	4636		93320	+35	868	8	69	3	160000000	111163	1439323776	Asia	14565	310467	9	0.08		0.6
2	USA	49573122	120441	805004	1633	39318563	81829	9449555	13343	148534	2412	755496996	2263665	333749517	North America	7	415	0	361	5	28313
3	India	34606541	9765	469724	+477	34028506	10207	108311	8944	24733	336	642412315	459129	1399198423	Asia	40	2979	2	7	0.3	77
4	Brazil	22105872	11413	615020	+266	21339118	17487	151734	8318	102963	2865	63776166	297051	214697495	South America	10	349	3	53	1	707
5	UK	10276007	48374	145140	+171	9095983	33422	1034884	916	150254	2122	363637864	5317066	68390701	Europe	7	471	0	707	3	15132
6	Russia	9669718	32837	276419	1226	8364932	35679	1028367	2300	66220	1893	225500000	1544277	146023052	Europe	15	528	1	225	8	7042
7	Turkey	8818144	22556	77038	+196	8350494	24113	390612	1405	102988	900	108036172	1261768	85622825	Asia	10	1111	1	263	2	4562
8	France	7725114	49610	119227	+96	7137512	12488	468375	1886	117980	1821	162981031	2489097	65477969	Europe	8	549	0	758	1	7153
9	Iran	6121757	4312	129912	+82	5892574	9104	99271	4312	71588	1519	38439240	449511	85513384	Asia	14	658	2	50	1.0	1161
10	Germany	5953310	71887	102552	+415	4937600	44300	913158	4636	70735	1218	83816414	995880	84163150	Europe	14	821	1	854	5	10850
11	Argentina	5332629	1881	116597	+8	5194780	1089	21252	632	116477	2547	26260861	573600	45782522	South America	9	393	2	41	0.2	464
12	Spain	5174720	10536	88080	+28	4924551	1411	162089	741	110617	1883	66213858	1415418	46780416	Europe	9	531	1	225	0.6	3465
13	Colombia	5071817	2173	128586	+58	4911593	2021	31638	342	98196	2490	28160705	545221	51650076	South America	10	402	2	42	1	613
14	Italy	5043620	15085	133931	+93	4709906	9457	199783	686	83592	2220	119905510	1987298	60335946	Europe	12	451	1	250	2	3311
15	Indonesia	4256687	+278	143840	+10	4104964	+307	7883		15333	518	54746617	197203	277615084	Asia	65	1930	5	1	0.04	28
16	Mexico	3887873	3307	294246	+296	3245219	2272	348408	4798	29713	2249	11861186	90648	130848998	North America	34	445	11	25	2	2663
