#	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
	Asia	82618876	74491	1224507	1172	79865741	75778	1528628	29992						Asia						
	North America	59911171	97681	1202976	+851	48218613	131554	10489582	20012						North America						
	South America	39100936	13342	1184277	+289	37167328	16489	749331	12763						South America						
	Europe	75930402	286676	1437984	3633	66538359	271231	7954059	22300						Europe						
	Africa	8834599	13558	224426	+143	8167203	7864	442970	1809						Africa						
	Oceania	378676	1480	4270	+6	334593	+287	39813	143						Australia/Oceania						
		721		15		706		0	0												
	World	266775381	487228	5278455	6094	240292543	503203	21204383	87019	34225	677.2				All						
1	China	99203	+61	4636		93507	+37	1060	12	69	3	160000000	111163	1439323776	Asia	14509	310467	9	0.04		0.7
2	USA	50162494	91673	810483	+733	39675200	122733	9676811	13997	150286	2428	764798583	2291317	333781277	North America	7	412	0	275	2	28991
3	India	34648383	6822	473757	+220	34069608	8834	105018	8944	24759	339	648259067	463234	1399420665	Asia	40	2954	2	5	0.2	75
4	Brazil	22147476	4385	615789	+115	21370388	7835	161299	8318	103145	2868	63776166	297017	214722227	South America	10	349	3	20	0.5	751
5	UK	10514650	51262	145646	+41	9259179	38553	1109825	900	153731	2129	369333562	5399887	68396535	Europe	7	470	0	749	0.6	16226
6	Russia	9833749	32136	282462	1184	8530476	28070	1020811	2300	67343	1934	228500000	1564810	146024075	Europe	15	517	1	220	8	6991
7	Turkey	8921150	20033	78017	+187	8462323	25611	380810	1128	104173	911	109804024	1282193	85637694	Asia	10	1098	1	234	2	4447
8	France	7928572	11308	119727	+192	7191129	19749	617716	2066	121083	1828	167925512	2564518	65480330	Europe	8	547	0	173	3	9434
9	Germany	6219169	39330	103913	+309	5120100	37600	995156	4636	73890	1235	85782441	1019187	84167530	Europe	14	810	1	467	4	11824
10	Iran	6137821	3356	130277	+77	5930502	7186	77042	3232	71761	1523	39415479	460833	85531007	Asia	14	657	2	39	0.9	901
11	Argentina	5343153	2477	116680	+34	5203809	1969	22664	671	116690	2548	26452899	577709	45789314	South America	9	392	2	54	0.7	495
12	Spain	5235814	10952	88219	+20	4934327	3271	213268	814	111922	1886	66213858	1415409	46780712	Europe	9	530	1	234	0.4	4559
