#	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
	Asia	82703585	84709	1225703	1196	79942641	76900	1535241	30069						Asia						
	North America	60024981	113810	1204884	1908	48295587	76974	10524510	20385						North America						
	South America	39120702	19766	1184705	+428	37191163	23835	744834	12806						South America						
	Europe	76298170	367768	1442278	4294	66828699	290340	8027193	22677						Europe						
	Africa	8858307	23708	224560	+134	8176467	9264	457280	1801						Africa						
	Oceania	380326	1650	4302	+32	339698	5105	36326	149						Australia/Oceania						
		721		15		706		0	0												
	World	267386792	611411	5286447	7992	240774961	482418	21325384	87887	34303	678.2				All						
1	China	99297	+94	4636		93554	+47	1107	16	69	3	160000000	111163	1439323776	Asia	14495	310467	9	0.07		0.8
2	USA	50270136	107642	812205	1722	39742867	67667	9715064	14377	150608	2433	766393274	2296094	333781277	North America	7	411	0	322	5	29106
3	India	34656822	8439	473952	+195	34079612	10004	103258	8944	24765	339	649447014	464083	1399420665	Asia	40	2953	2	6	0.1	74
4	Brazil	22157726	10250	616067	+278	21386271	15883	155388	8318	103193	2869	63776166	297017	214722227	South America	10	349	3	48	1	724
5	UK	10560341	45691	145826	+180	9300698	41519	1113817	901	154399	2132	370541215	5417544	68396535	Europe	6	469	0	668	3	16285
6	Russia	9864845	31096	283644	1182	8565091	34615	1016110	2300	67556	1942	228800000	1566865	146024075	Europe	15	515	1	213	8	6959
7	Turkey	8943837	22687	78215	+198	8486689	24366	378933	1128	104438	913	110159341	1286342	85637694	Asia	10	1095	1	265	2	4425
8	France	7987591	59019	119899	+172	7211231	20102	656461	2351	121985	1831	170480237	2603534	65480330	Europe	8	546	0	901	3	10025
9	Germany	6270761	51592	104361	+448	5170400	50300	996000	4636	74503	1240	85782441	1019187	84167530	Europe	13	807	1	613	5	11834
10	Iran	6141335	3514	130356	+79	5936975	6473	74004	3213	71802	1524	39415479	460833	85531007	Asia	14	656	2	41	0.9	865
11	Argentina	5346242	3089	116703	+23	5205534	1725	24005	687	116757	2549	26501999	578781	45789314	South America	9	392	2	67	0.5	524
12	Spain	5246766	10952	88237	+18	4937402	3075	221127	814	112157	1886	66213858	1415409	46780712	Europe	9	530	1	234	0.4	4727
13	Italy	5134318	15756	134386	+88	4759038	10584	240894	776	85098	2227	123331813	2044134	60334494	Europe	12	449	0	261	1	3993
14	Colombia	5084466	1704	128874	+53	4925444	2011	30148	342	98424	2495	28431055	550361	51658961	South America	10	401	2	33	1	584
15	Indonesia	4258076	+261	143893	+17	4108717	+420	5466		15335	518	56549237	203662	277662471	Asia	65	1930	5	0.9	0.06	20
16	Mexico	3902015	+752	295312	+110	3260084	2408	346619	4798	29816	2257	11954353	91344	130871191	North America	34	443	11	6	0.8	2649
17	Poland	3704047	19373	86204	+503	3184676	16922	433167	2036	98024	2281	25095931	664138	37787245	Europe	10	438	2	513	13	11463
18	Ukraine	3510610	8655	88986	+467	3082619	22878	339005	177	80969	2052	16119721	371787	43357380	Europe	12	487	3	200	11	7819
19	South Africa	3051222	13147	90002	+27	2864648	3276	96572	546	50535	1491	19838883	328575	60378511	Africa	20	671	3	218	0.4	1599
20	Philippines	2835223	+234	49590	+91	2772463	+606	13170	899	25390	444	24390103	218417	111667580	Asia	39	2252	5	2	0.8	118
21	Netherlands	2790830	17911	19770	+68	2181308	11315	589752	620	162360	1150	19205114	1117280	17189161	Europe	6	869	1	1042	4	34310
22	Malaysia	2667999	4965	30718	+66	2576870	4817	60411	437	80948	932	38569695	1170223	32959271	Asia	12	1073	1	151	2	1833
23	Czechia	2262730	15544	33973	+107	1962920	+647	265837	1009	210733	3164	44927649	4184209	10737430	Europe	5	316	0	1448	10	24758
24	Peru	2246633	1487	201450	+29	N/A	N/A	N/A	997	66807	5990	20623407	613265	33628881	South America	15	167	2	44	0.9	9650
25	Thailand	2148766	3525	20995	+31	2061374	6109	66397	1369	30674	300	14913135	212890	70050769	Asia	33	3337	5	50	0.4	948
26	Iraq	2085586	+625	23919	+16	2051912	+952	9755	85	50240	576	16469999	396749	41512393	Asia	20	1736	3	15	0.4	235
27	Belgium	1868906	13844	27319	+43	1387296	8688	454291	809	160258	2343	25383627	2176641	11661837	Europe	6	427	0	1187	4	38955
28	Canada	1815215	2971	29827	+27	1756185	3069	29203	497	47499	780	49518440	1295759	38215765	North America	21	1281	1	78	0.7	764
29	Romania	1788260	1421	57274	+101	1705896	2612	25090	834	93853	3006	16234994	852059	19053849	Europe	11	333	1	75	5	1317
30	Chile	1775212	1164	38535	+4	1670658	2537	66019	698	91737	1991	26051962	1346281	19351055	South America	11	502	1	60	0.2	3412
31	Japan	1728015	+73	18365	+1	1708819	+108	831	28	13723	146	28204907	223987	125921894	Asia	73	6857	4	0.6	0.01	7
32	Bangladesh	1578011	+291	28010	+5	1542908	+308	7093	1539	9447	168	11020857	65978	167037400	Asia	106	5963	15	2	0.03	42
33	Israel	1347474	+804	8210	+1	1333483	+486	5781	106	144486	880	35400109	3795851	9326000	Asia	7	1136	0	86	0.1	620
34	Vietnam	1337523	13840	26700	+217	1011656	1249	299167	7019	13566	271	70146808	711486	98592025	Asia	74	3693	1	140	2	3034
35	Pakistan	1287393	+232	28784	+7	1246783	+319	11826	813	5671	127	22295147	98206	227024140	Asia	176	7887	10	1	0.03	52
36	Serbia	1267112	1884	11995	+40	1216373	3048	38744	180	145864	1381	6911480	795615	8686960	Europe	7	724	1	217	5	4460
37	Sweden	1222892	3337	15151	+1	1163524	+866	44217	50	120016	1487	13934770	1367574	10189412	Europe	8	673	1	327	0.10	4340
38	Austria	1207336	4233	12921	+77	1098287	11154	96128	670	132967	1423	113295295	12477505	9079964	Europe	8	703	0	466	8	10587
39	Portugal	1172420	3417	18572	+21	1093264	4969	60584	133	115462	1829	21858506	2152673	10154125	Europe	9	547	0	337	2	5966
40	Hungary	1161879	4311	35835	+224	938836	6632	187208	618	120712	3723	8679620	901758	9625218	Europe	8	269	1	448	23	19450
