#	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
	North America	59282891	3416	1196386	+186	47820522	3352	10265983	19501						North America						
	Asia	82252676	37917	1216039	+581	79542778	48078	1493859	30522						Asia						
	South America	39009256	2253	1182480	+49	37097621	1331	729155	12717						South America						
	Europe	74321216	213879	1422905	3173	65325976	182766	7572335	21972						Europe						
	Africa	8748980	+590	223826	+11	8135095	2027	390059	1846						Africa						
	Oceania	372122	1984	4232	+14	331447	+167	36443	157						Australia/Oceania						
		721		15		706		0	0												
	World	263987862	260039	5245883	4014	238254145	237721	20487834	86715	33867	673.0				All						
1	USA	49573122		805004		39318563		9449555	13343	148534	2412	755496996	2263665	333749517	North America	7	415	0			28313
2	India	34606541		469724		34037054	8548	99763	8944	24733	336	643510926	459914	1399198423	Asia	40	2979	2			71
3	Brazil	22105872		615020		21339118		151734	8318	102963	2865	63776166	297051	214697495	South America	10	349	3			707
4	UK	10276007		145140		9095983		1034884	916	150254	2122	363637864	5317066	68390701	Europe	7	471	0			15132
5	Russia	9703107	33389	277640	1221	8400117	35185	1025350	2300	66449	1901	226100000	1548386	146023052	Europe	15	526	1	229	8	7022
6	Turkey	8818144		77038		8350494		390612	1405	102988	900	108036172	1261768	85622825	Asia	10	1111	1			4562
7	France	7725114		119227		7137416		468471	1886	117980	1821	162981031	2489097	65477969	Europe	8	549	0			7155
8	Iran	6125596	3839	129988	+76	5901532	8958	94076	3839	71633	1520	38439240	449511	85513384	Asia	14	658	2	45	0.9	1100
9	Germany	5978964	25654	102669	+117	4979700	42100	896595	4636	71040	1220	83816414	995880	84163150	Europe	14	820	1	305	1	10653
10	Argentina	5332629		116597		5194780		21252	632	116477	2547	26260861	573600	45782522	South America	9	393	2			464
11	Spain	5174720		88080		4924551		162089	741	110617	1883	66213858	1415418	46780416	Europe	9	531	1			3465
12	Colombia	5071817		128586		4911593		31638	342	98196	2490	28160705	545221	51650076	South America	10	402	2			613
13	Italy	5043620		133931		4709906		199783	686	83592	2220	119905510	1987298	60335946	Europe	12	451	1			3311
14	Indonesia	4256998	+311	143850	+10	4105352	+388	7796		15334	518	55038077	198253	277615084	Asia	65	1930	5	1	0.04	28
15	Mexico	3891218	3345	294428	+182	3248012	2793	348778	4798	29738	2250	11883217	90816	130848998	North America	34	444	11	26	1	2665
16	Poland	3596491	27356	84656	+502	3066218	17690	445617	1862	95176	2240	24547160	649603	37787922	Europe	11	446	2	724	13	11793
17	Ukraine	3463872	13531	87057	+525	2995727	23535	381088	177	79883	2008	15962709	368130	43361664	Europe	13	498	3	312	12	8789
18	South Africa	2976613		89871		2850142		36600	546	49309	1489	19529031	323509	60366253	Africa	20	672	3			606
19	Philippines	2833473	+564	48752	+40	2769533	+694	15188	1023	25380	437	24238501	217106	111643668	Asia	39	2290	5	5	0.4	136
20	Netherlands	2684734	23043	19524	+65	2128014	7682	537196	609	156193	1136	19205114	1117321	17188541	Europe	6	880	1	1341	4	31253
21	Malaysia	2638221		30474		2544007		63740	500	80061	925	37882464	1149609	32952474	Asia	12	1081	1			1934
22	Peru	2236351		201176		N/A	N/A	N/A	971	66516	5984	20314089	604202	33621349	South America	15	167	2			9354
23	Czechia	2193289	21126	33317	+67	1866997	+380	292975	1064	204272	3103	43942413	4092576	10737105	Europe	5	322	0	1968	6	27286
24	Thailand	2125729	4971	20845	+33	2031156	5402	73728	1369	30347	298	14913135	212899	70047905	Asia	33	3360	5	71	0.5	1053
25	Iraq	2082774	+713	23859	+15	2047266	1042	11649	107	50190	575	16384117	394821	41497561	Asia	20	1739	3	17	0.4	281
26	Canada	1795629		29714		1739899		26016	497	46993	778	48895595	1279643	38210346	North America	21	1286	1			681
27	Belgium	1786444	20409	27072	+57	1345928	5012	413444	780	153198	2322	24849495	2130990	11661012	Europe	7	431	0	1750	5	35455
28	Romania	1781957	1149	56684	+58	1691356	2172	33917	1076	93512	2975	16057174	842633	19055941	Europe	11	336	1	60	3	1780
29	Chile	1766493	2219	38403	+47	1659771	1331	68319	706	91299	1985	25724028	1329519	19348368	South America	11	504	1	115	2	3531
30	Japan	1727430	+126	18362	+2	1708219	+140	849	38	13718	146	27983144	222215	125928213	Asia	73	6858	5	1	0.02	7
31	Bangladesh	1576566		27983		1541348		7235	1382	9440	168	10907602	65311	167010523	Asia	106	5968	15			43
