#	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
	Asia	83032690	78235	1231213	1293	80291630	70896	1509847	30418						Asia						
	North America	60556242	66104	1211810	+691	48568251	39378	10776181	20844						North America						
	South America	39191308	11936	1186176	+223	37250776	15783	754356	12780						South America						
	Europe	77827805	324336	1458796	3395	68065904	309703	8303105	22822						Europe						
	Africa	8981214	26855	225316	+147	8207715	3949	548183	1797						Africa						
	Oceania	387788	1832	4340	+18	347599	1099	35849	157						Australia/Oceania						
		721		15		706		0	0												
	World	269977768	509298	5317666	5767	242732581	440808	21927521	88818	34636	682.2				All						
1	China	99604	+87	4636		93696	+37	1272	28	69	3	160000000	111163	1439323776	Asia	14450	310467	9	0.06		0.9
2	USA	50762671	57414	817789	+446	39986483	34790	9958399	14935	152074	2450	773300851	2316642	333802450	North America	7	408	0	172	1	29833
3	India	34690510	7774	475434	+306	34114331	9265	100745	8944	24787	340	654627300	467735	1399568826	Asia	40	2944	2	6	0.2	72
4	Brazil	22188179	3355	616859	+126	21414318	6619	157002	8318	103326	2873	63776166	296994	214738715	South America	10	348	3	16	0.6	731
5	UK	10771444	54073	146387	+132	9453429	39312	1171628	900	157476	2140	374468898	5474658	68400424	Europe	6	467	0	791	2	17129
6	Russia	9986967	30288	288351	1171	8709964	36446	988652	2300	68392	1975	231000000	1581924	146024756	Europe	15	506	1	207	8	6770
7	Turkey	9022223	19255	78969	+191	8592094	23180	351160	1128	105341	922	111562570	1302577	85647607	Asia	9	1085	1	225	2	4100
8	France	8214844	53720	120383	+65	7294653	42277	799808	2461	125452	1838	172371975	2632360	65481904	Europe	8	544	0	820	1.0	12214
9	Germany	6501279	37542	106208	+277	5368300	39000	1026771	4636	77239	1262	87852398	1043744	84170450	Europe	13	793	1	446	3	12199
10	Iran	6152524	1681	130661	+58	5963373	6356	58490	3126	71923	1527	39951481	467035	85542756	Asia	14	655	2	20	0.7	684
